date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-28,X:AAVEUSD,Aave - United States dollar,120.0,128.91,118.34,125.45,101155.48023434999,123.7261,33862
2024-08-29,X:AAVEUSD,Aave - United States dollar,125.41,128.49,121.67,123.28,59730.79730276012,124.4598,17426
2024-08-30,X:AAVEUSD,Aave - United States dollar,123.21,132.13,118.39,131.28,88369.66605718908,123.5551,25458
2024-08-31,X:AAVEUSD,Aave - United States dollar,131.21,134.2,128.17,129.75,52276.36900353971,131.1207,18486
2024-09-01,X:AAVEUSD,Aave - United States dollar,129.53,130.24,120.1,120.71,52655.06398886993,125.0329,19662
2024-09-02,X:AAVEUSD,Aave - United States dollar,120.68,135.53,117.79,134.89,90303.45222701791,126.0444,25333
2024-09-03,X:AAVEUSD,Aave - United States dollar,134.94,135.27,118.61,118.8,114531.47164183007,126.6538,31740
2024-09-04,X:AAVEUSD,Aave - United States dollar,118.74,139.0,116.2,135.24,229317.86445707903,130.2551,62715
2024-09-05,X:AAVEUSD,Aave - United States dollar,135.23,137.43,127.37,129.22,89547.2357527308,131.6346,27730
2024-09-06,X:AAVEUSD,Aave - United States dollar,128.96,130.99,119.52,126.78,98422.6029950512,125.4565,32557
2024-09-07,X:AAVEUSD,Aave - United States dollar,126.74,131.06,123.95,125.07,50336.73426713045,127.0767,16694
2024-09-08,X:AAVEUSD,Aave - United States dollar,124.92,127.84,123.25,125.95,38725.08189448001,125.7195,12433
2024-09-09,X:AAVEUSD,Aave - United States dollar,125.91,142.19,124.17,140.01,124478.35520824934,135.5972,35122
2024-09-10,X:AAVEUSD,Aave - United States dollar,140.06,153.35,136.27,150.66,162294.55605881673,146.9525,40022
2024-09-11,X:AAVEUSD,Aave - United States dollar,150.58,158.81,144.97,149.6,207261.57968476828,149.9775,60435
2024-09-12,X:AAVEUSD,Aave - United States dollar,149.58,151.81,141.86,145.97,18650.650025549756,145.9834,4252
2024-09-13,X:AAVEUSD,Aave - United States dollar,145.15,146.63,139.5,144.6,9801.20744926996,143.0096,3304
2024-09-14,X:AAVEUSD,Aave - United States dollar,144.31,144.31,137.68,140.08,6864.584229070007,139.8286,2215
2024-09-15,X:AAVEUSD,Aave - United States dollar,140.1,149.9,140.01,143.48,17296.292524549805,145.6798,4214
2024-09-16,X:AAVEUSD,Aave - United States dollar,143.54,144.13,138.21,140.21,13113.442393480098,140.5858,2920
2024-09-17,X:AAVEUSD,Aave - United States dollar,140.25,147.58,136.72,140.56,95590.00566279776,142.1175,40280
2024-09-18,X:AAVEUSD,Aave - United States dollar,140.58,141.98,134.17,141.68,90660.08718987028,137.4291,35769
2024-09-19,X:AAVEUSD,Aave - United States dollar,141.8,152.99,141.4,150.48,122685.62830701607,147.1348,50738
2024-09-20,X:AAVEUSD,Aave - United States dollar,150.56,157.57,147.65,153.46,66247.00965782045,153.2223,30929
2024-09-21,X:AAVEUSD,Aave - United States dollar,153.65,154.77,149.84,154.6,24081.51171310998,151.7943,14396
2024-09-22,X:AAVEUSD,Aave - United States dollar,154.64,163.2,154.33,162.18,115860.7630954935,158.6461,55278
2024-09-23,X:AAVEUSD,Aave - United States dollar,162.23,179.36,158.45,172.0,170660.86587892647,171.9622,79450
2024-09-24,X:AAVEUSD,Aave - United States dollar,172.0,173.6,163.2,166.1,81280.60488444977,167.5202,33573
2024-09-25,X:AAVEUSD,Aave - United States dollar,166.16,173.99,164.19,164.95,63644.22112525943,168.2891,29844
2024-09-26,X:AAVEUSD,Aave - United States dollar,165.06,170.0,163.0,165.22,48948.336344439864,166.5134,20595
2024-09-27,X:AAVEUSD,Aave - United States dollar,165.15,173.99,163.49,170.47,55271.960734219865,168.2879,21821
