date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:ATOMUSD,Cosmos - United States dollar,4.647,4.699,4.51,4.5593,143604.34037272006,4.5845,4004
2024-09-01,X:ATOMUSD,Cosmos - United States dollar,4.558,4.562,4.265,4.301,213274.20006168002,4.434,4603
2024-09-02,X:ATOMUSD,Cosmos - United States dollar,4.296,4.4782,4.284,4.437,218495.5061471401,4.3827,4190
2024-09-03,X:ATOMUSD,Cosmos - United States dollar,4.437,4.509,4.1,4.107,421831.7718151598,4.2535,8221
2024-09-04,X:ATOMUSD,Cosmos - United States dollar,4.105,4.139,3.898,4.073,780392.548540697,4.0374,12866
2024-09-05,X:ATOMUSD,Cosmos - United States dollar,4.074,4.102,3.862,3.9057,645805.7561268226,3.9582,11591
2024-09-06,X:ATOMUSD,Cosmos - United States dollar,3.905,3.9754,3.615,3.714,859836.2696560235,3.8283,13613
2024-09-07,X:ATOMUSD,Cosmos - United States dollar,3.717,3.781,3.636,3.6673,608936.6576370224,3.706,9595
2024-09-08,X:ATOMUSD,Cosmos - United States dollar,3.671,3.8352,3.6559,3.807,456725.65926482965,3.7188,6493
2024-09-09,X:ATOMUSD,Cosmos - United States dollar,3.808,4.11,3.807,4.093,386598.1038711803,3.9566,6178
2024-09-10,X:ATOMUSD,Cosmos - United States dollar,4.092,4.174,4.039,4.132,267470.0042383493,4.1161,4240
2024-09-11,X:ATOMUSD,Cosmos - United States dollar,4.132,4.212,4.013,4.16,299486.26833715045,4.1271,5686
2024-09-12,X:ATOMUSD,Cosmos - United States dollar,4.1655,4.1768,4.0622,4.1432,21848.299620470032,4.1085,394
2024-09-13,X:ATOMUSD,Cosmos - United States dollar,4.1466,4.2566,4.1224,4.208,34710.183083539974,4.2216,521
2024-09-14,X:ATOMUSD,Cosmos - United States dollar,4.2009,4.2476,4.15,4.2376,18462.76173904999,4.2014,341
2024-09-15,X:ATOMUSD,Cosmos - United States dollar,4.2372,4.2532,4.0268,4.0601,22691.80674623,4.1698,552
2024-09-16,X:ATOMUSD,Cosmos - United States dollar,4.0593,4.0593,3.9192,3.9708,26352.116517979994,3.984,575
2024-09-17,X:ATOMUSD,Cosmos - United States dollar,3.969,4.241,3.939,4.192,247639.78673648,4.0989,4305
2024-09-18,X:ATOMUSD,Cosmos - United States dollar,4.191,4.375,4.099,4.373,493893.64957824873,4.2157,8667
