date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-28,X:BATUSD,Basic Attention Token - United States dollar,0.16916,0.17544,0.1623,0.1642,1466196.7515009816,0.1678,1685
2024-08-29,X:BATUSD,Basic Attention Token - United States dollar,0.16436,0.16987,0.1618,0.16494,697225.9942035702,0.1658,1235
2024-08-30,X:BATUSD,Basic Attention Token - United States dollar,0.16515,0.16776,0.15879,0.16552,581590.0016299399,0.1633,934
2024-08-31,X:BATUSD,Basic Attention Token - United States dollar,0.1655,0.16641,0.16102,0.16299,510331.6163575801,0.1632,510
2024-09-01,X:BATUSD,Basic Attention Token - United States dollar,0.1629,0.16336,0.15621,0.15773,533195.3498940907,0.1588,885
2024-09-02,X:BATUSD,Basic Attention Token - United States dollar,0.15764,0.16621,0.15694,0.16559,499593.2121221799,0.1619,850
2024-09-03,X:BATUSD,Basic Attention Token - United States dollar,0.16504,0.16771,0.15828,0.15879,496220.6317070297,0.1616,721
2024-09-04,X:BATUSD,Basic Attention Token - United States dollar,0.15862,0.16538,0.152,0.16154,972335.8624811202,0.1595,1088
2024-09-05,X:BATUSD,Basic Attention Token - United States dollar,0.16154,0.16255,0.15658,0.15818,336547.61645192996,0.1585,714
2024-09-06,X:BATUSD,Basic Attention Token - United States dollar,0.15751,0.16015,0.1477,0.15271,844023.1001448784,0.1535,1093
2024-09-07,X:BATUSD,Basic Attention Token - United States dollar,0.15282,0.15878,0.15219,0.15639,1343473.9616129398,0.1546,922
2024-09-08,X:BATUSD,Basic Attention Token - United States dollar,0.15538,0.16006,0.15505,0.15809,278308.06336593,0.1572,696
2024-09-09,X:BATUSD,Basic Attention Token - United States dollar,0.15835,0.1661,0.15777,0.16432,474022.08150364016,0.1634,842
2024-09-10,X:BATUSD,Basic Attention Token - United States dollar,0.16463,0.16838,0.16295,0.16714,454609.75983263005,0.1654,664
2024-09-11,X:BATUSD,Basic Attention Token - United States dollar,0.16706,0.1691,0.16167,0.16717,1031980.2956989992,0.1653,1234
2024-09-12,X:BATUSD,Basic Attention Token - United States dollar,0.16743,0.17357,0.16731,0.17327,121360.73737815006,0.17,179
2024-09-13,X:BATUSD,Basic Attention Token - United States dollar,0.17307,0.17598,0.16988,0.17504,202772.45938836999,0.1739,199
2024-09-14,X:BATUSD,Basic Attention Token - United States dollar,0.17507,0.17516,0.17141,0.17359,59872.92835608,0.1735,130
2024-09-15,X:BATUSD,Basic Attention Token - United States dollar,0.17317,0.17634,0.17035,0.17196,203414.80373503006,0.1738,196
2024-09-16,X:BATUSD,Basic Attention Token - United States dollar,0.17096,0.1739,0.16734,0.16838,492639.6386451298,0.1719,238
2024-09-17,X:BATUSD,Basic Attention Token - United States dollar,0.16774,0.17547,0.16657,0.17474,1050835.462926299,0.1709,901
