date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:BCHUSD,Bitcoin Cash - United States dollar,324.83,326.86,319.89,322.31,4220.655882269972,323.3396,6103
2024-09-01,X:BCHUSD,Bitcoin Cash - United States dollar,322.35,322.82,310.6,312.72,4348.649076739989,317.609,5669
2024-09-02,X:BCHUSD,Bitcoin Cash - United States dollar,312.69,325.59,310.68,323.64,12458.932527410185,319.0877,8458
2024-09-03,X:BCHUSD,Bitcoin Cash - United States dollar,323.64,326.17,308.45,308.85,13152.661902750047,315.2702,9645
2024-09-04,X:BCHUSD,Bitcoin Cash - United States dollar,308.69,319.43,296.31,315.27,14943.619216560233,309.3182,11757
2024-09-05,X:BCHUSD,Bitcoin Cash - United States dollar,315.27,316.99,303.65,307.66,8464.196699560029,308.6363,8391
2024-09-06,X:BCHUSD,Bitcoin Cash - United States dollar,307.58,312.61,286.1,294.97,25387.449851590027,297.9153,16011
2024-09-07,X:BCHUSD,Bitcoin Cash - United States dollar,294.93,308.35,293.14,299.45,12690.98811698007,301.7735,10894
2024-09-08,X:BCHUSD,Bitcoin Cash - United States dollar,299.42,308.2,298.66,305.41,6228.426903960043,303.4519,8062
2024-09-09,X:BCHUSD,Bitcoin Cash - United States dollar,305.36,325.97,304.77,322.2,14674.961118430307,315.2141,10106
2024-09-10,X:BCHUSD,Bitcoin Cash - United States dollar,322.33,331.88,310.42,329.55,12243.463206259981,324.2219,9912
2024-09-11,X:BCHUSD,Bitcoin Cash - United States dollar,329.54,343.84,319.64,337.4,17386.26400921041,332.0784,13676
2024-09-12,X:BCHUSD,Bitcoin Cash - United States dollar,337.83,340.68,330.01,333.32,959.7871355499989,334.959,856
2024-09-13,X:BCHUSD,Bitcoin Cash - United States dollar,332.72,337.72,327.39,335.68,1318.2097693200005,332.7185,811
2024-09-14,X:BCHUSD,Bitcoin Cash - United States dollar,336.56,337.63,325.4,327.17,979.9931500200006,330.3272,744
2024-09-15,X:BCHUSD,Bitcoin Cash - United States dollar,327.1,328.94,314.2,316.07,1785.0023802599972,322.5992,884
2024-09-16,X:BCHUSD,Bitcoin Cash - United States dollar,316.35,317.09,309.09,312.2,1423.0533466899988,312.9696,885
2024-09-17,X:BCHUSD,Bitcoin Cash - United States dollar,311.77,321.61,309.4,314.35,8827.043976039948,315.5172,10461
2024-09-18,X:BCHUSD,Bitcoin Cash - United States dollar,314.3,327.84,306.32,327.22,11958.977810239923,314.6605,11895
2024-09-19,X:BCHUSD,Bitcoin Cash - United States dollar,326.92,369.1,326.34,339.95,47231.55490278314,344.1537,34168
2024-09-20,X:BCHUSD,Bitcoin Cash - United States dollar,340.0,345.31,332.17,335.9,13437.495473940106,338.6005,12908
2024-09-21,X:BCHUSD,Bitcoin Cash - United States dollar,335.96,346.82,331.0,345.54,8705.958922020047,340.0752,9530
2024-09-22,X:BCHUSD,Bitcoin Cash - United States dollar,345.56,347.27,334.0,342.66,7706.724669489923,340.9762,8351
2024-09-23,X:BCHUSD,Bitcoin Cash - United States dollar,342.77,349.06,336.25,342.18,17887.4150479002,341.8196,12174
2024-09-24,X:BCHUSD,Bitcoin Cash - United States dollar,342.13,351.51,336.99,348.02,14014.308916920074,344.1951,11655
2024-09-25,X:BCHUSD,Bitcoin Cash - United States dollar,348.02,355.64,341.26,343.46,13942.6822169402,348.7233,12131
2024-09-26,X:BCHUSD,Bitcoin Cash - United States dollar,343.52,358.11,338.76,351.85,17348.799078560132,350.8934,14561
2024-09-27,X:BCHUSD,Bitcoin Cash - United States dollar,351.93,364.67,351.93,358.79,16254.347190090122,359.6272,14659
2024-09-28,X:BCHUSD,Bitcoin Cash - United States dollar,358.93,361.29,345.92,352.32,8208.30564328009,353.0848,9145
2024-09-29,X:BCHUSD,Bitcoin Cash - United States dollar,352.47,358.31,345.63,352.81,11453.283879470131,351.3788,9738
2024-09-30,X:BCHUSD,Bitcoin Cash - United States dollar,352.86,353.79,334.33,337.36,10204.82513655012,343.4347,11599
2024-10-01,X:BCHUSD,Bitcoin Cash - United States dollar,337.23,347.34,310.48,317.81,16344.774948849845,326.6743,14999
2024-10-02,X:BCHUSD,Bitcoin Cash - United States dollar,317.77,324.34,309.19,316.21,11722.100245670179,317.5984,13500
2024-10-03,X:BCHUSD,Bitcoin Cash - United States dollar,316.13,323.0,307.73,320.42,12563.772102830162,315.4164,14349
2024-10-04,X:BCHUSD,Bitcoin Cash - United States dollar,320.42,326.14,318.2,324.67,13414.409391920339,322.0497,15655
2024-10-05,X:BCHUSD,Bitcoin Cash - United States dollar,324.96,325.66,318.27,321.84,3796.569774930002,322.421,9487
2024-10-06,X:BCHUSD,Bitcoin Cash - United States dollar,322.03,325.46,320.83,324.64,3384.4975881400137,323.3833,8777
2024-10-07,X:BCHUSD,Bitcoin Cash - United States dollar,324.67,333.0,320.19,323.5,9727.654865830018,328.0092,11534
2024-10-08,X:BCHUSD,Bitcoin Cash - United States dollar,323.65,333.57,321.55,329.0,8198.548842630138,328.341,9712
2024-10-09,X:BCHUSD,Bitcoin Cash - United States dollar,329.0,330.31,317.82,320.46,5465.352280790028,324.8465,7196
2024-10-10,X:BCHUSD,Bitcoin Cash - United States dollar,320.38,325.35,316.99,322.8,7511.015979180064,321.3639,8162
2024-10-11,X:BCHUSD,Bitcoin Cash - United States dollar,322.76,329.0,321.73,326.87,4343.729328539995,325.3061,6850
2024-10-12,X:BCHUSD,Bitcoin Cash - United States dollar,326.95,333.41,324.79,329.23,4780.878518449996,329.2461,6690
2024-10-13,X:BCHUSD,Bitcoin Cash - United States dollar,329.26,329.75,317.38,321.24,5264.245847210009,322.6912,6595
2024-10-14,X:BCHUSD,Bitcoin Cash - United States dollar,321.35,370.36,318.83,369.36,26487.945571658853,347.3013,23482
2024-10-15,X:BCHUSD,Bitcoin Cash - United States dollar,369.36,386.29,344.54,354.48,31020.158884860146,365.7856,38668
2024-10-16,X:BCHUSD,Bitcoin Cash - United States dollar,354.49,371.41,351.22,365.35,32007.249318048784,362.7903,39275
2024-10-17,X:BCHUSD,Bitcoin Cash - United States dollar,365.48,375.6,360.24,369.75,17011.284237919936,366.4662,16214
2024-10-18,X:BCHUSD,Bitcoin Cash - United States dollar,369.63,377.23,362.99,367.29,16656.074730219898,369.0299,15273
2024-10-19,X:BCHUSD,Bitcoin Cash - United States dollar,367.3,368.83,361.41,363.31,6541.266325210031,364.7855,9507
2024-10-20,X:BCHUSD,Bitcoin Cash - United States dollar,363.31,371.59,357.38,369.82,9852.944555870014,364.4789,10742
2024-10-21,X:BCHUSD,Bitcoin Cash - United States dollar,369.76,378.6,358.93,363.59,13985.60826018998,370.1977,12509
2024-10-22,X:BCHUSD,Bitcoin Cash - United States dollar,363.6,366.3,353.97,357.13,8034.843805220138,359.3851,9281
2024-10-23,X:BCHUSD,Bitcoin Cash - United States dollar,357.15,357.35,338.2,347.73,14116.231514270024,348.0274,14912
2024-10-24,X:BCHUSD,Bitcoin Cash - United States dollar,347.77,370.82,346.32,367.67,18807.038691540183,361.4192,15809
2024-10-25,X:BCHUSD,Bitcoin Cash - United States dollar,367.7,374.0,339.36,348.67,24084.964279080006,363.2315,21450
2024-10-26,X:BCHUSD,Bitcoin Cash - United States dollar,348.6,356.66,345.61,347.66,6977.404899810049,351.1491,10761
2024-10-27,X:BCHUSD,Bitcoin Cash - United States dollar,347.66,353.8,346.72,351.79,5794.7647776400145,350.2519,9399
2024-10-28,X:BCHUSD,Bitcoin Cash - United States dollar,351.97,368.2,343.66,365.15,15844.354455290362,359.9156,16714
2024-10-29,X:BCHUSD,Bitcoin Cash - United States dollar,365.21,389.31,363.66,385.92,37522.815518139825,381.1083,29377
