date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-28,X:BTCUSD,Bitcoin - United States dollar,59458.0,60330.0,57851.62,59045.88,12730.966862985191,59182.1953,542368
2024-08-29,X:BTCUSD,Bitcoin - United States dollar,59025.6,61290.0,58717.4,59385.5,13390.994139785862,60005.8027,478625
2024-08-30,X:BTCUSD,Bitcoin - United States dollar,59385.5,60102.0,57700.0,59112.77,12801.433110229189,58866.0364,491248
2024-08-31,X:BTCUSD,Bitcoin - United States dollar,59110.0,59622.0,58736.9,58968.37,2737.2740956604825,59144.5901,245342
2024-09-01,X:BTCUSD,Bitcoin - United States dollar,58968.37,59236.0,57200.0,57299.0,7421.114477814753,58117.7048,358182
2024-09-02,X:BTCUSD,Bitcoin - United States dollar,57318.5,59588.0,57119.01,59139.83,6932.6479858029015,58278.8385,291108
2024-09-03,X:BTCUSD,Bitcoin - United States dollar,59305.0,59976.0,57394.49,57468.84,10681.679466690335,58209.4995,325061
2024-09-04,X:BTCUSD,Bitcoin - United States dollar,57482.4,58632.0,55555.0,57971.0,18103.70367437131,57156.1194,500872
2024-09-05,X:BTCUSD,Bitcoin - United States dollar,57970.1,58451.0,55601.5,56156.82,16459.691040708483,56658.0437,441328
2024-09-06,X:BTCUSD,Bitcoin - United States dollar,56163.9,57123.0,52530.0,53950.01,24644.355583965902,54653.1227,664279
2024-09-07,X:BTCUSD,Bitcoin - United States dollar,53948.3,55084.0,53733.1,54156.33,5599.344510441847,54293.2412,287982
2024-09-08,X:BTCUSD,Bitcoin - United States dollar,54146.5,55448.0,53623.95,54881.11,5724.479945091327,54439.3713,274505
2024-09-09,X:BTCUSD,Bitcoin - United States dollar,54856.9,58180.0,54565.56,57053.9,13946.304867186069,56050.795,450409
2024-09-10,X:BTCUSD,Bitcoin - United States dollar,57062.7,58136.0,56377.76,57645.59,7933.797438274136,57172.4231,380266
