date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:COMPUSD,Compound - United States dollar,46.4,46.72,44.8,45.18,9311.823613379993,45.7431,1414
2024-09-01,X:COMPUSD,Compound - United States dollar,45.474,45.615,42.09,42.789,15167.258126310071,44.0491,2223
2024-09-02,X:COMPUSD,Compound - United States dollar,42.62,45.499,42.47,45.19,14831.98077636007,44.215,1949
2024-09-03,X:COMPUSD,Compound - United States dollar,45.16,45.774,42.73,42.85,12054.283342910063,43.8491,2142
2024-09-04,X:COMPUSD,Compound - United States dollar,42.84,46.3,41.19,44.685,27823.63967357039,44.2505,3868
2024-09-05,X:COMPUSD,Compound - United States dollar,44.53,44.875,41.4,41.92,11962.227685830032,42.4043,1950
2024-09-06,X:COMPUSD,Compound - United States dollar,41.89,42.744,39.35,41.1,20192.252439980075,41.1289,2862
2024-09-07,X:COMPUSD,Compound - United States dollar,41.1,42.02,40.65,41.2,14424.370017610028,41.3125,1874
2024-09-08,X:COMPUSD,Compound - United States dollar,41.26,42.248,40.4,41.37,10220.403087320045,41.218,1538
2024-09-09,X:COMPUSD,Compound - United States dollar,41.356,43.117,40.92,42.47,19675.815242550143,42.2229,2572
2024-09-10,X:COMPUSD,Compound - United States dollar,42.5,43.61,41.64,43.08,20902.652728870118,42.7589,2352
2024-09-11,X:COMPUSD,Compound - United States dollar,43.1,43.35,40.82,41.68,35326.14858266015,42.0529,3715
2024-09-12,X:COMPUSD,Compound - United States dollar,41.706,44.532,41.706,44.316,735.4590022900002,42.8669,286
2024-09-13,X:COMPUSD,Compound - United States dollar,44.33,44.93,43.4,44.807,1148.5190403099991,44.0435,222
2024-09-14,X:COMPUSD,Compound - United States dollar,44.849,45.276,43.78,44.77,430.1413940299999,44.4179,166
2024-09-15,X:COMPUSD,Compound - United States dollar,44.73,45.108,42.64,42.78,1967.56168575,43.5887,273
2024-09-16,X:COMPUSD,Compound - United States dollar,42.905,43.873,42.02,42.862,935.7524673199997,42.6408,207
2024-09-17,X:COMPUSD,Compound - United States dollar,42.622,43.972,42.06,42.54,27997.34824726022,43.1005,2885
2024-09-18,X:COMPUSD,Compound - United States dollar,42.58,43.92,41.16,43.88,11918.523684900005,42.1814,1825
2024-09-19,X:COMPUSD,Compound - United States dollar,43.93,45.317,43.93,44.19,12911.781481239992,44.4753,1865
2024-09-20,X:COMPUSD,Compound - United States dollar,44.16,46.695,43.73,45.14,12836.671112009986,45.0378,2511
2024-09-21,X:COMPUSD,Compound - United States dollar,45.166,47.743,44.54,47.743,14280.309955419958,46.1071,2554
2024-09-22,X:COMPUSD,Compound - United States dollar,46.85,47.545,45.37,47.14,7800.157667150034,46.2815,2459
2024-09-23,X:COMPUSD,Compound - United States dollar,47.19,49.71,46.47,48.92,18966.521419289966,48.4387,3868
2024-09-24,X:COMPUSD,Compound - United States dollar,48.92,51.3,48.56,49.8,21892.235426470004,49.8939,4330
2024-09-25,X:COMPUSD,Compound - United States dollar,49.78,50.44,48.62,49.162,12329.486272639966,49.77,2707
2024-09-26,X:COMPUSD,Compound - United States dollar,49.02,50.45,48.14,49.33,9015.142793340017,49.4693,1790
2024-09-27,X:COMPUSD,Compound - United States dollar,49.33,50.753,48.42,50.217,13450.598875809983,49.8191,2394
2024-09-28,X:COMPUSD,Compound - United States dollar,49.85,51.58,47.69,48.37,11759.39005250999,49.3898,2016
2024-09-29,X:COMPUSD,Compound - United States dollar,48.396,49.479,47.12,47.46,7425.001032670006,47.8971,1529
2024-09-30,X:COMPUSD,Compound - United States dollar,47.43,49.101,45.58,46.1,14128.337010669982,47.5388,2561
2024-10-01,X:COMPUSD,Compound - United States dollar,46.14,48.411,41.51,42.64,13151.577164949973,44.4326,3062
2024-10-02,X:COMPUSD,Compound - United States dollar,42.6,44.86,40.8,42.346,12419.729540660017,42.8783,2447
