date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-28,X:CRVUSD,Curve DAO Token - United States dollar,0.2956,0.3277,0.2871,0.2928,15713031.385882653,0.2977,15887
2024-08-29,X:CRVUSD,Curve DAO Token - United States dollar,0.2931,0.3055,0.279,0.29074,10921424.583970055,0.2935,9320
2024-08-30,X:CRVUSD,Curve DAO Token - United States dollar,0.2893,0.29428,0.272,0.2925,8849899.197273472,0.2858,8092
2024-08-31,X:CRVUSD,Curve DAO Token - United States dollar,0.2923,0.2956,0.2806,0.2831,6962548.58405109,0.2889,11219
2024-09-01,X:CRVUSD,Curve DAO Token - United States dollar,0.2831,0.28362,0.2627,0.2658,9111123.580353785,0.2726,14026
2024-09-02,X:CRVUSD,Curve DAO Token - United States dollar,0.2653,0.2842,0.2653,0.2801,7400111.412889433,0.2763,8299
2024-09-03,X:CRVUSD,Curve DAO Token - United States dollar,0.28,0.2833,0.2607,0.262,7383260.34314359,0.2711,10527
2024-09-04,X:CRVUSD,Curve DAO Token - United States dollar,0.262,0.299,0.2483,0.291,14487507.51840042,0.2781,17605
2024-09-05,X:CRVUSD,Curve DAO Token - United States dollar,0.2905,0.2965,0.277,0.28,10675319.580030562,0.285,11052
2024-09-06,X:CRVUSD,Curve DAO Token - United States dollar,0.279,0.2938,0.2565,0.262,10321330.253647512,0.271,13557
2024-09-07,X:CRVUSD,Curve DAO Token - United States dollar,0.2612,0.268,0.2549,0.257,6418460.965704134,0.2605,11053
2024-09-08,X:CRVUSD,Curve DAO Token - United States dollar,0.257,0.2783,0.2548,0.2759,8289938.752192072,0.2637,12675
2024-09-09,X:CRVUSD,Curve DAO Token - United States dollar,0.27613,0.2893,0.2724,0.2822,10897326.772336682,0.2825,10085
2024-09-10,X:CRVUSD,Curve DAO Token - United States dollar,0.2825,0.2874,0.2705,0.28,6943381.6975291,0.2784,7274
2024-09-11,X:CRVUSD,Curve DAO Token - United States dollar,0.28,0.28551,0.2661,0.2754,10699579.518084923,0.276,9933
2024-09-12,X:CRVUSD,Curve DAO Token - United States dollar,0.276,0.28483,0.271,0.284,1530183.0409174114,0.2759,640
2024-09-13,X:CRVUSD,Curve DAO Token - United States dollar,0.28504,0.28779,0.274,0.285,1079889.542113031,0.2808,534
2024-09-14,X:CRVUSD,Curve DAO Token - United States dollar,0.285,0.285,0.273,0.27563,946245.6039482,0.2786,339
2024-09-15,X:CRVUSD,Curve DAO Token - United States dollar,0.275,0.27937,0.262,0.26549,1551676.886897497,0.2727,1137
2024-09-16,X:CRVUSD,Curve DAO Token - United States dollar,0.26717,0.26822,0.258,0.264,664826.8679478973,0.2623,1455
2024-09-17,X:CRVUSD,Curve DAO Token - United States dollar,0.2629,0.27708,0.2597,0.2705,7200216.18174665,0.2699,5413
2024-09-18,X:CRVUSD,Curve DAO Token - United States dollar,0.2696,0.2844,0.2546,0.2837,14171119.641627315,0.2698,10890
2024-09-19,X:CRVUSD,Curve DAO Token - United States dollar,0.2839,0.28908,0.277,0.2789,17903200.416055214,0.2824,11901
2024-09-20,X:CRVUSD,Curve DAO Token - United States dollar,0.279,0.31,0.2734,0.3065,16898151.5761706,0.2928,23499
2024-09-21,X:CRVUSD,Curve DAO Token - United States dollar,0.306,0.308,0.2917,0.2982,10510547.020178022,0.298,9968
2024-09-22,X:CRVUSD,Curve DAO Token - United States dollar,0.2979,0.307,0.286,0.2963,8446646.179804768,0.2968,17760
2024-09-23,X:CRVUSD,Curve DAO Token - United States dollar,0.2964,0.3058,0.2867,0.2963,9136247.935193328,0.2962,10185
2024-09-24,X:CRVUSD,Curve DAO Token - United States dollar,0.2966,0.3114,0.29,0.3062,9835922.634983173,0.2995,13777
2024-09-25,X:CRVUSD,Curve DAO Token - United States dollar,0.306,0.3136,0.299,0.3027,8018299.028454887,0.3057,17900
2024-09-26,X:CRVUSD,Curve DAO Token - United States dollar,0.3027,0.3127,0.29,0.2999,18987087.601091675,0.302,15947
2024-09-27,X:CRVUSD,Curve DAO Token - United States dollar,0.3003,0.3204,0.2976,0.3186,9708032.43185411,0.31,9558
2024-09-28,X:CRVUSD,Curve DAO Token - United States dollar,0.3185,0.32259,0.299,0.3062,5221600.082096325,0.31,6083
2024-09-29,X:CRVUSD,Curve DAO Token - United States dollar,0.3058,0.30834,0.2959,0.2999,4345328.999447422,0.3007,4735
2024-09-30,X:CRVUSD,Curve DAO Token - United States dollar,0.3001,0.30471,0.271,0.277,15611872.164755186,0.282,9457
2024-10-01,X:CRVUSD,Curve DAO Token - United States dollar,0.2769,0.28721,0.2514,0.259,12422889.748886252,0.2715,12343
2024-10-02,X:CRVUSD,Curve DAO Token - United States dollar,0.2586,0.267,0.246,0.254,7353286.115634587,0.2559,9879
2024-10-03,X:CRVUSD,Curve DAO Token - United States dollar,0.254,0.261,0.246,0.25976,8704664.652115397,0.2545,12041
2024-10-04,X:CRVUSD,Curve DAO Token - United States dollar,0.2594,0.2653,0.2529,0.25941,8811326.5645036,0.2601,9184
2024-10-05,X:CRVUSD,Curve DAO Token - United States dollar,0.2587,0.26016,0.2506,0.254,3262977.762374976,0.2566,7269
2024-10-06,X:CRVUSD,Curve DAO Token - United States dollar,0.254,0.263,0.251,0.26,4174598.7463443917,0.2586,7299
2024-10-07,X:CRVUSD,Curve DAO Token - United States dollar,0.26,0.268,0.2544,0.2556,7433458.48379598,0.2623,5885
2024-10-08,X:CRVUSD,Curve DAO Token - United States dollar,0.2558,0.2602,0.2488,0.2528,5106069.111124426,0.2551,8487
2024-10-09,X:CRVUSD,Curve DAO Token - United States dollar,0.253,0.2606,0.244,0.2575,10963378.610552864,0.2521,11074
2024-10-10,X:CRVUSD,Curve DAO Token - United States dollar,0.2574,0.266,0.2509,0.2582,6226966.130874708,0.258,8089
2024-10-11,X:CRVUSD,Curve DAO Token - United States dollar,0.2582,0.266,0.2549,0.258,6388790.068665156,0.2607,5494
2024-10-12,X:CRVUSD,Curve DAO Token - United States dollar,0.2586,0.26413,0.256,0.261,6067083.383405529,0.2601,5248
2024-10-13,X:CRVUSD,Curve DAO Token - United States dollar,0.2601,0.26135,0.251,0.2569,3354074.5630098013,0.2562,3535
2024-10-14,X:CRVUSD,Curve DAO Token - United States dollar,0.2572,0.27,0.2544,0.2686,4535403.741307608,0.2635,5192
2024-10-15,X:CRVUSD,Curve DAO Token - United States dollar,0.2687,0.2737,0.2568,0.2624,7818654.972495007,0.2651,8028
2024-10-16,X:CRVUSD,Curve DAO Token - United States dollar,0.2625,0.26577,0.2568,0.2574,3524640.765979443,0.2607,4263
2024-10-17,X:CRVUSD,Curve DAO Token - United States dollar,0.2574,0.2746,0.25,0.2593,6155085.747917173,0.2571,5727
2024-10-18,X:CRVUSD,Curve DAO Token - United States dollar,0.2593,0.2673,0.2579,0.265,3912707.302978347,0.264,5780
2024-10-19,X:CRVUSD,Curve DAO Token - United States dollar,0.265,0.273,0.2639,0.267,4874988.432316242,0.2687,9640
2024-10-20,X:CRVUSD,Curve DAO Token - United States dollar,0.268,0.2849,0.264,0.275,9080006.462862644,0.2744,12859
2024-10-21,X:CRVUSD,Curve DAO Token - United States dollar,0.275,0.27708,0.263,0.2634,4827060.2471172465,0.2696,10017
2024-10-22,X:CRVUSD,Curve DAO Token - United States dollar,0.2636,0.265,0.2553,0.2592,3289455.820433618,0.2603,3509
2024-10-23,X:CRVUSD,Curve DAO Token - United States dollar,0.259,0.25984,0.245,0.2533,5439212.495614931,0.2523,4525
2024-10-24,X:CRVUSD,Curve DAO Token - United States dollar,0.2534,0.2573,0.2476,0.25,4994893.13000114,0.2517,4165
2024-10-25,X:CRVUSD,Curve DAO Token - United States dollar,0.25,0.253,0.224,0.2358,7395419.9235109715,0.243,6944
2024-10-26,X:CRVUSD,Curve DAO Token - United States dollar,0.2352,0.242,0.2317,0.24008,3199542.5898329266,0.2385,5377
2024-10-27,X:CRVUSD,Curve DAO Token - United States dollar,0.24,0.24481,0.238,0.243,2140108.948850321,0.2421,2116
2024-10-28,X:CRVUSD,Curve DAO Token - United States dollar,0.242,0.248,0.2342,0.2442,4070398.556994061,0.2422,3793
2024-10-29,X:CRVUSD,Curve DAO Token - United States dollar,0.244,0.2649,0.243,0.2596,16268669.949536713,0.2546,10499
2024-10-30,X:CRVUSD,Curve DAO Token - United States dollar,0.2598,0.269,0.253,0.25964,7100843.550291344,0.2603,6329
2024-10-31,X:CRVUSD,Curve DAO Token - United States dollar,0.26008,0.26017,0.2419,0.2525,7803353.520635648,0.2507,5567
2024-11-01,X:CRVUSD,Curve DAO Token - United States dollar,0.2523,0.259,0.244,0.2483,5491951.1053102575,0.2522,8503
2024-11-02,X:CRVUSD,Curve DAO Token - United States dollar,0.2483,0.24937,0.23484,0.2379,2732611.399565089,0.2392,3412
2024-11-03,X:CRVUSD,Curve DAO Token - United States dollar,0.239,0.239,0.2219,0.2301,8969820.055789428,0.2295,5628
2024-11-04,X:CRVUSD,Curve DAO Token - United States dollar,0.2302,0.2379,0.2183,0.22427,7198424.098699456,0.2271,4807
2024-11-05,X:CRVUSD,Curve DAO Token - United States dollar,0.224,0.2432,0.2234,0.2369,5271155.556923732,0.232,4499
2024-11-06,X:CRVUSD,Curve DAO Token - United States dollar,0.237,0.264,0.23618,0.2589,14809758.950927401,0.2512,9540
2024-11-07,X:CRVUSD,Curve DAO Token - United States dollar,0.2589,0.2692,0.2562,0.262,9964074.586889299,0.2634,11824
2024-11-08,X:CRVUSD,Curve DAO Token - United States dollar,0.262,0.2709,0.258,0.27,7147914.247842495,0.2642,11777
2024-11-09,X:CRVUSD,Curve DAO Token - United States dollar,0.27,0.283,0.263,0.277,7379817.96420877,0.2731,10318
2024-11-10,X:CRVUSD,Curve DAO Token - United States dollar,0.2772,0.294,0.2717,0.284,11542308.287543654,0.2841,14673
2024-11-11,X:CRVUSD,Curve DAO Token - United States dollar,0.2849,0.296,0.274,0.294,11317187.62189863,0.2863,15236
2024-11-12,X:CRVUSD,Curve DAO Token - United States dollar,0.2948,0.295,0.2612,0.278,14866622.411008885,0.278,18124
2024-11-13,X:CRVUSD,Curve DAO Token - United States dollar,0.2771,0.3262,0.255,0.315,41773879.85532219,0.3002,40175
2024-11-14,X:CRVUSD,Curve DAO Token - United States dollar,0.315,0.315,0.284,0.2896,19309774.717319034,0.2958,20588
2024-11-15,X:CRVUSD,Curve DAO Token - United States dollar,0.2895,0.2975,0.276,0.29,19329025.113773298,0.2886,19232
2024-11-16,X:CRVUSD,Curve DAO Token - United States dollar,0.29,0.377,0.287,0.336,39275124.01921026,0.3323,39182
2024-11-17,X:CRVUSD,Curve DAO Token - United States dollar,0.3227,0.3245,0.3144,0.32,1403127.1626939948,0.3187,1252
2024-11-18,X:CRVUSD,Curve DAO Token - United States dollar,0.366,0.40617,0.363,0.3751,3266289.4873365937,0.3723,2856
2024-11-19,X:CRVUSD,Curve DAO Token - United States dollar,0.4254,0.44992,0.40421,0.4092,6519355.461023419,0.4133,5155
2024-11-20,X:CRVUSD,Curve DAO Token - United States dollar,0.3637,0.3824,0.361,0.374,3054241.1929616146,0.376,2653
2024-11-21,X:CRVUSD,Curve DAO Token - United States dollar,0.374,0.424,0.355,0.4057,29614051.17238078,0.39,30211
2024-11-22,X:CRVUSD,Curve DAO Token - United States dollar,0.4058,0.4761,0.3946,0.4725,32883681.796085626,0.4322,41512
2024-11-23,X:CRVUSD,Curve DAO Token - United States dollar,0.4732,0.5427,0.454,0.496,39613430.53009768,0.4912,48729
2024-11-24,X:CRVUSD,Curve DAO Token - United States dollar,0.508,0.533,0.43893,0.508,513959.0,0.495,513959
2024-11-25,X:CRVUSD,Curve DAO Token - United States dollar,0.5085,0.577,0.48,0.518,41977706.148164056,0.5287,43497
2024-11-26,X:CRVUSD,Curve DAO Token - United States dollar,0.5173,0.532,0.4666,0.4824,22103888.01318571,0.4948,25517
2024-11-27,X:CRVUSD,Curve DAO Token - United States dollar,0.4818,0.5236,0.4688,0.5089,22852724.455949057,0.4995,27584
2024-11-28,X:CRVUSD,Curve DAO Token - United States dollar,0.5096,0.516,0.475,0.4962,10682964.21094091,0.4914,13712
2024-11-29,X:CRVUSD,Curve DAO Token - United States dollar,0.4959,0.5481,0.4866,0.5407,18684258.728806213,0.5182,20909
2024-11-30,X:CRVUSD,Curve DAO Token - United States dollar,0.5414,0.81,0.5347,0.6814,39961397.85628,0.6148,53602
2024-12-01,X:CRVUSD,Curve DAO Token - United States dollar,0.6809,0.7377,0.618,0.6707,34059590.33111014,0.6739,48601
2024-12-02,X:CRVUSD,Curve DAO Token - United States dollar,0.6715,0.799,0.6695,0.7315,33770856.41450338,0.7311,58814
2024-12-03,X:CRVUSD,Curve DAO Token - United States dollar,0.732,0.975,0.7242,0.8779,64469999.144475855,0.8591,98514
2024-12-04,X:CRVUSD,Curve DAO Token - United States dollar,0.8782,1.274,0.8654,1.0931,50110175.061669946,1.0867,105971
2024-12-05,X:CRVUSD,Curve DAO Token - United States dollar,1.0939,1.1999,0.9894,1.0579,37562036.391958684,1.0912,87049
2024-12-06,X:CRVUSD,Curve DAO Token - United States dollar,1.0576,1.308,1.045,1.2507,47734122.14220039,1.1811,115790
2024-12-07,X:CRVUSD,Curve DAO Token - United States dollar,1.2508,1.3384,1.1595,1.1756,26547797.477281537,1.2261,71663
2024-12-08,X:CRVUSD,Curve DAO Token - United States dollar,1.1755,1.2489,1.1463,1.2042,15574501.669598594,1.1927,49080
2024-12-09,X:CRVUSD,Curve DAO Token - United States dollar,1.2037,1.21,0.8751,1.0702,26333868.590360794,1.072,74320
2024-12-10,X:CRVUSD,Curve DAO Token - United States dollar,1.0614,1.2179,0.98295,1.0711,54493593.7192437,1.0913,123980
2024-12-11,X:CRVUSD,Curve DAO Token - United States dollar,1.072,1.15,0.958,1.1334,27672482.161899313,1.0648,73554
2024-12-12,X:CRVUSD,Curve DAO Token - United States dollar,1.1328,1.2096,1.0789,1.1947,26857226.663128555,1.1534,79666
2024-12-13,X:CRVUSD,Curve DAO Token - United States dollar,1.194,1.2488,1.102,1.1389,23057021.40127508,1.1839,58777
2024-12-14,X:CRVUSD,Curve DAO Token - United States dollar,1.1386,1.2998,1.111,1.1431,26667956.156002715,1.1965,86252
2024-12-15,X:CRVUSD,Curve DAO Token - United States dollar,1.1431,1.1941,1.057,1.1297,14808198.768891735,1.1261,47791
2024-12-16,X:CRVUSD,Curve DAO Token - United States dollar,1.1298,1.174,1.0481,1.0718,20054474.82069534,1.1007,60561
2024-12-17,X:CRVUSD,Curve DAO Token - United States dollar,1.0718,1.1595,1.0455,1.1042,16149870.215166515,1.1144,46657
2024-12-18,X:CRVUSD,Curve DAO Token - United States dollar,1.1043,1.121,0.925,0.9523,20197029.117742658,1.0226,58863
2024-12-19,X:CRVUSD,Curve DAO Token - United States dollar,0.9523,0.9754,0.8041,0.839,36511771.139734626,0.8934,74907
2024-12-20,X:CRVUSD,Curve DAO Token - United States dollar,0.8444,0.8666,0.67717,0.8351,41748759.917374425,0.7684,101974
2024-12-21,X:CRVUSD,Curve DAO Token - United States dollar,0.8337,1.0056,0.7792,0.7907,27977002.400209423,0.8438,88216
2024-12-22,X:CRVUSD,Curve DAO Token - United States dollar,0.7906,0.864,0.76,0.8192,21864573.045368508,0.8045,53507
2024-12-23,X:CRVUSD,Curve DAO Token - United States dollar,0.8189,0.99606,0.7905,0.9517,39950612.30935732,0.8749,86278
2024-12-24,X:CRVUSD,Curve DAO Token - United States dollar,0.9518,1.0619,0.9049,1.0144,26227274.814413164,0.9764,79220
2024-12-25,X:CRVUSD,Curve DAO Token - United States dollar,1.0131,1.066,1.0023,1.0228,17113766.294036817,1.0319,49962
2024-12-26,X:CRVUSD,Curve DAO Token - United States dollar,1.0229,1.028,0.893,0.9485,23698462.71163037,0.9441,56890
2024-12-27,X:CRVUSD,Curve DAO Token - United States dollar,0.9485,1.013,0.894,0.8997,27122649.62942623,0.9529,75719
2024-12-28,X:CRVUSD,Curve DAO Token - United States dollar,0.8995,1.05,0.882,1.0188,21823600.110088162,0.9692,51118
2024-12-29,X:CRVUSD,Curve DAO Token - United States dollar,1.018,1.0297,0.9267,0.9474,16503553.241316924,0.97,38478
2024-12-30,X:CRVUSD,Curve DAO Token - United States dollar,0.9475,0.99997,0.8932,0.9287,24998540.32336004,0.9413,55110
2024-12-31,X:CRVUSD,Curve DAO Token - United States dollar,0.9087,0.95249,0.873,0.8932,15350717.714402553,0.9115,32395
2025-01-01,X:CRVUSD,Curve DAO Token - United States dollar,0.8918,0.9826,0.8646,0.9562,14428841.40062113,0.9235,35255
2025-01-02,X:CRVUSD,Curve DAO Token - United States dollar,0.97852,1.0359,0.97842,1.0051,50852.308251669965,1.012,179
2025-01-03,X:CRVUSD,Curve DAO Token - United States dollar,1.0074,1.112,0.972,1.0855,17781177.50021408,1.0468,52495
2025-01-04,X:CRVUSD,Curve DAO Token - United States dollar,1.0854,1.1074,1.045,1.0474,10075834.155609608,1.0676,40424
2025-01-05,X:CRVUSD,Curve DAO Token - United States dollar,1.0476,1.0534,1.0162,1.0271,7372259.9981705425,1.0344,33691
2025-01-06,X:CRVUSD,Curve DAO Token - United States dollar,1.0275,1.0585,0.976,0.9974,19309735.645704135,1.0094,41699
2025-01-07,X:CRVUSD,Curve DAO Token - United States dollar,0.9973,1.03,0.8899,0.8912,15397172.914492682,0.9421,37997
2025-01-08,X:CRVUSD,Curve DAO Token - United States dollar,0.8916,0.938,0.78,0.8586,23431749.510723785,0.8512,73845
2025-01-09,X:CRVUSD,Curve DAO Token - United States dollar,0.8584,0.887,0.7844,0.8088,21272425.12482083,0.8283,74666
2025-01-10,X:CRVUSD,Curve DAO Token - United States dollar,0.809,0.8651,0.7974,0.8254,15076594.961716179,0.8281,57782
2025-01-11,X:CRVUSD,Curve DAO Token - United States dollar,0.826,0.8687,0.794,0.8466,9863023.810346657,0.8271,37192
2025-01-12,X:CRVUSD,Curve DAO Token - United States dollar,0.8465,0.8506,0.8044,0.8187,6838812.328403102,0.8316,32315
2025-01-13,X:CRVUSD,Curve DAO Token - United States dollar,0.8194,0.8493,0.7257,0.8116,27219174.728503555,0.779,79428
2025-01-14,X:CRVUSD,Curve DAO Token - United States dollar,0.8113,0.872,0.8045,0.8645,17175321.163257834,0.8374,54375
2025-01-15,X:CRVUSD,Curve DAO Token - United States dollar,0.8646,0.9648,0.835,0.9615,25481861.223113928,0.8932,71414
2025-01-16,X:CRVUSD,Curve DAO Token - United States dollar,0.9617,0.9814,0.9154,0.9316,24665850.702982064,0.9524,62897
2025-01-17,X:CRVUSD,Curve DAO Token - United States dollar,0.9317,1.06,0.93,1.044,26410943.547630757,0.9928,64676
2025-01-18,X:CRVUSD,Curve DAO Token - United States dollar,1.0441,1.068,0.8884,0.9179,22910325.38815625,0.9429,72298
2025-01-19,X:CRVUSD,Curve DAO Token - United States dollar,0.9181,0.9764,0.7904,0.8138,46865251.53166955,0.8925,103080
2025-01-20,X:CRVUSD,Curve DAO Token - United States dollar,0.8138,0.95,0.783,0.8509,33570422.38677299,0.8566,88791
2025-01-21,X:CRVUSD,Curve DAO Token - United States dollar,0.85,0.8881,0.814,0.8573,20012098.413416352,0.8479,73648
2025-01-22,X:CRVUSD,Curve DAO Token - United States dollar,0.8571,0.8668,0.7798,0.787,12634143.224159405,0.814,50495
2025-01-23,X:CRVUSD,Curve DAO Token - United States dollar,0.786,0.81919,0.7461,0.7919,26934129.755368434,0.7765,60632
2025-01-24,X:CRVUSD,Curve DAO Token - United States dollar,0.7942,0.8651,0.756,0.7949,18231298.427135877,0.8221,62202
2025-01-25,X:CRVUSD,Curve DAO Token - United States dollar,0.795,0.8356,0.7693,0.7969,16522202.400065655,0.8062,58337
2025-01-26,X:CRVUSD,Curve DAO Token - United States dollar,0.797,0.8309,0.7622,0.7679,11294154.157285323,0.7994,38341
2025-01-27,X:CRVUSD,Curve DAO Token - United States dollar,0.7676,0.7733,0.6715,0.74,31508380.751558386,0.7208,74588
2025-01-28,X:CRVUSD,Curve DAO Token - United States dollar,0.7402,0.7531,0.6675,0.6756,19436104.74096793,0.7061,57423
2025-01-29,X:CRVUSD,Curve DAO Token - United States dollar,0.6793,0.7459,0.674,0.7005,25575293.111880705,0.7058,59148
2025-01-30,X:CRVUSD,Curve DAO Token - United States dollar,0.7007,0.8101,0.6938,0.7854,22726673.42159242,0.7661,47618
2025-01-31,X:CRVUSD,Curve DAO Token - United States dollar,0.7854,0.8324,0.7624,0.7811,23279640.86325961,0.7901,52646
2025-02-01,X:CRVUSD,Curve DAO Token - United States dollar,0.7811,0.7884,0.6768,0.6861,24366097.87705297,0.7305,50141
2025-02-02,X:CRVUSD,Curve DAO Token - United States dollar,0.686,0.7084,0.5121,0.5554,41605742.46904468,0.6039,85579
2025-02-03,X:CRVUSD,Curve DAO Token - United States dollar,0.556,0.61,0.402,0.5785,68131874.14017858,0.5155,93005
2025-02-04,X:CRVUSD,Curve DAO Token - United States dollar,0.5779,0.581,0.4983,0.524,45469281.18179811,0.5314,87452
2025-02-05,X:CRVUSD,Curve DAO Token - United States dollar,0.525,0.542,0.506,0.512,1829656.600012528,0.5245,1383
2025-02-06,X:CRVUSD,Curve DAO Token - United States dollar,0.5132,0.5313,0.4642,0.4708,19035093.688151468,0.4956,30094
2025-02-07,X:CRVUSD,Curve DAO Token - United States dollar,0.4705,0.5286,0.4532,0.4776,24582308.316802718,0.4863,38035
2025-02-08,X:CRVUSD,Curve DAO Token - United States dollar,0.4775,0.5202,0.473,0.5104,17382564.019024435,0.4919,47396
2025-02-09,X:CRVUSD,Curve DAO Token - United States dollar,0.5105,0.532,0.4907,0.5256,18199826.042995345,0.5107,35584
