date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:DOGEUSD,Dogecoin - United States dollar,0.10176,0.10272,0.10008,0.10127,129434735.23132843,0.1014,29938
2024-09-01,X:DOGEUSD,Dogecoin - United States dollar,0.10127,0.10187,0.09394,0.09509,185115180.85965547,0.0978,43028
2024-09-02,X:DOGEUSD,Dogecoin - United States dollar,0.09506,0.10008,0.0940974,0.0991,186211926.62482244,0.0971,41359
2024-09-03,X:DOGEUSD,Dogecoin - United States dollar,0.099436,0.1011,0.09643,0.09678,178633867.48763937,0.0985,39160
2024-09-04,X:DOGEUSD,Dogecoin - United States dollar,0.09675,0.099651,0.0917796,0.0980005,306654810.0489943,0.0964,56795
2024-09-05,X:DOGEUSD,Dogecoin - United States dollar,0.09799,0.099386,0.09599,0.09839,209480632.00373688,0.0978,44865
2024-09-06,X:DOGEUSD,Dogecoin - United States dollar,0.09839,0.09964,0.08888,0.09253,355443998.01908857,0.0937,73175
2024-09-07,X:DOGEUSD,Dogecoin - United States dollar,0.09252,0.096,0.09172,0.09541,210829959.97911784,0.0942,43314
2024-09-08,X:DOGEUSD,Dogecoin - United States dollar,0.09541,0.097234,0.0938183,0.09618,131064569.60156535,0.0956,33177
2024-09-09,X:DOGEUSD,Dogecoin - United States dollar,0.09614,0.105,0.09574,0.10375,355630526.20383906,0.1008,61522
2024-09-10,X:DOGEUSD,Dogecoin - United States dollar,0.10377,0.10471,0.10151,0.10281,186469325.0002774,0.1029,36345
2024-09-11,X:DOGEUSD,Dogecoin - United States dollar,0.10281,0.10329,0.09783,0.1013,231106420.55059424,0.1007,45659
2024-09-12,X:DOGEUSD,Dogecoin - United States dollar,0.1013593,0.10364,0.1004632,0.102727,48448149.74182076,0.1021,5561
2024-09-13,X:DOGEUSD,Dogecoin - United States dollar,0.102739,0.10867,0.1018411,0.1070534,57041880.7652789,0.1058,9859
2024-09-14,X:DOGEUSD,Dogecoin - United States dollar,0.1070415,0.10797,0.1043268,0.10563,39857004.099786,0.1059,7113
2024-09-15,X:DOGEUSD,Dogecoin - United States dollar,0.1054228,0.10668,0.1021988,0.1029087,49125747.917481236,0.1051,7099
2024-09-16,X:DOGEUSD,Dogecoin - United States dollar,0.1028635,0.10351,0.0983696,0.0996417,41361053.982108764,0.1004,7100
2024-09-17,X:DOGEUSD,Dogecoin - United States dollar,0.09966,0.10268,0.09869,0.10115,303493697.0893116,0.1011,49201
2024-09-18,X:DOGEUSD,Dogecoin - United States dollar,0.10112,0.10409,0.09934,0.10386,224920057.22160774,0.1013,62546
