date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:DOTUSD,Polkadot - United States dollar,4.277,4.3284,4.218,4.259,321539.4670261917,4.2707,8855
2024-09-01,X:DOTUSD,Polkadot - United States dollar,4.2567,4.2679,4.0321,4.08,647939.1792957656,4.1589,17415
2024-09-02,X:DOTUSD,Polkadot - United States dollar,4.068,4.242,4.054,4.209,632995.5935009375,4.1476,16007
2024-09-03,X:DOTUSD,Polkadot - United States dollar,4.2082,4.2928,4.054,4.063,638811.6915016229,4.1746,15131
2024-09-04,X:DOTUSD,Polkadot - United States dollar,4.0602,4.2027,3.866,4.11,2100124.9759320836,4.0613,29703
2024-09-05,X:DOTUSD,Polkadot - United States dollar,4.11,4.1372,3.974,4.02,653885.2384020237,4.0378,16095
2024-09-06,X:DOTUSD,Polkadot - United States dollar,4.0181,4.0992,3.82,3.958,1221041.709779914,3.976,23864
2024-09-07,X:DOTUSD,Polkadot - United States dollar,3.959,4.1441,3.933,4.081,538159.3623893998,4.0531,12511
2024-09-08,X:DOTUSD,Polkadot - United States dollar,4.0779,4.213,4.057,4.163,476208.25619393314,4.1426,11578
2024-09-09,X:DOTUSD,Polkadot - United States dollar,4.1616,4.342,4.1117,4.288,631038.7548676822,4.2228,13734
2024-09-10,X:DOTUSD,Polkadot - United States dollar,4.287,4.289,4.197,4.251,391371.24518638285,4.2442,16002
2024-09-11,X:DOTUSD,Polkadot - United States dollar,4.2517,4.262,4.052,4.1937,822183.8862645155,4.1553,24125
2024-09-12,X:DOTUSD,Polkadot - United States dollar,4.1941,4.3104,4.1937,4.3047,120082.17495318018,4.2412,1688
2024-09-13,X:DOTUSD,Polkadot - United States dollar,4.2955,4.4999,4.2763,4.4259,238923.39094544054,4.377,2822
2024-09-14,X:DOTUSD,Polkadot - United States dollar,4.4335,4.4534,4.3537,4.4373,86311.4088395703,4.4029,1986
2024-09-15,X:DOTUSD,Polkadot - United States dollar,4.4468,4.5625,4.3621,4.3942,155776.1518309502,4.4785,4555
2024-09-16,X:DOTUSD,Polkadot - United States dollar,4.3924,4.3989,4.15,4.1948,187153.21790930012,4.2523,4118
2024-09-17,X:DOTUSD,Polkadot - United States dollar,4.1936,4.29,4.13,4.159,486105.91293962667,4.1912,17913
2024-09-18,X:DOTUSD,Polkadot - United States dollar,4.1582,4.187,3.975,4.1811,1107968.3338225344,4.0717,21558
2024-09-19,X:DOTUSD,Polkadot - United States dollar,4.178,4.3571,4.1746,4.255,1392983.7151780743,4.2439,21092
2024-09-20,X:DOTUSD,Polkadot - United States dollar,4.256,4.4091,4.191,4.3342,790016.3647799311,4.3033,13667
2024-09-21,X:DOTUSD,Polkadot - United States dollar,4.34,4.4808,4.284,4.463,592026.6862668984,4.3939,11799
2024-09-22,X:DOTUSD,Polkadot - United States dollar,4.4616,4.482,4.236,4.309,512366.78168456646,4.3497,12155
2024-09-23,X:DOTUSD,Polkadot - United States dollar,4.315,4.4644,4.235,4.4644,711042.2932661908,4.3859,15986
2024-09-24,X:DOTUSD,Polkadot - United States dollar,4.4561,4.6903,4.401,4.634,1359286.2992870635,4.5381,21878
2024-09-25,X:DOTUSD,Polkadot - United States dollar,4.6393,4.7808,4.5899,4.636,870380.9245609404,4.681,15865
2024-09-26,X:DOTUSD,Polkadot - United States dollar,4.637,4.8842,4.564,4.816,1083571.5563557316,4.7693,20970
2024-09-27,X:DOTUSD,Polkadot - United States dollar,4.815,4.9699,4.809,4.883,1377741.7248478965,4.898,20003
2024-09-28,X:DOTUSD,Polkadot - United States dollar,4.883,5.0,4.747,4.797,887750.9111503287,4.8625,15316
2024-09-29,X:DOTUSD,Polkadot - United States dollar,4.796,4.8684,4.684,4.7799,563650.8495854122,4.7724,12678
2024-09-30,X:DOTUSD,Polkadot - United States dollar,4.767,4.7795,4.4,4.432,1262285.2605565295,4.5969,22971
2024-10-01,X:DOTUSD,Polkadot - United States dollar,4.4307,4.5705,4.047,4.152,1829878.4226312793,4.3001,29641
2024-10-02,X:DOTUSD,Polkadot - United States dollar,4.151,4.2764,4.005,4.1004,1876651.6770085166,4.1441,28997
2024-10-03,X:DOTUSD,Polkadot - United States dollar,4.1002,4.173,3.99,4.13,1203356.3965571455,4.0752,23821
2024-10-04,X:DOTUSD,Polkadot - United States dollar,4.129,4.2167,4.106,4.194,1158987.7877588836,4.1607,17747
2024-10-05,X:DOTUSD,Polkadot - United States dollar,4.192,4.2416,4.075,4.138,379215.4730171517,4.1674,7989
2024-10-06,X:DOTUSD,Polkadot - United States dollar,4.138,4.1992,4.099,4.189,465808.0500484386,4.1497,9226
2024-10-07,X:DOTUSD,Polkadot - United States dollar,4.1894,4.2759,4.1258,4.1313,702184.5062460834,4.2082,15109
2024-10-08,X:DOTUSD,Polkadot - United States dollar,4.1289,4.183,4.0435,4.101,712875.4565227841,4.1156,14353
2024-10-09,X:DOTUSD,Polkadot - United States dollar,4.1007,4.1518,3.949,4.021,739401.083559502,4.0334,13955
2024-10-10,X:DOTUSD,Polkadot - United States dollar,4.0189,4.0788,3.959,4.065,569452.6511592178,4.0308,12315
2024-10-11,X:DOTUSD,Polkadot - United States dollar,4.0683,4.194,4.049,4.17,461538.06752553576,4.1465,10977
2024-10-12,X:DOTUSD,Polkadot - United States dollar,4.17,4.2641,4.15,4.205,544166.1604262949,4.2193,9619
2024-10-13,X:DOTUSD,Polkadot - United States dollar,4.2029,4.2166,4.084,4.162,392681.8787634308,4.147,9542
2024-10-14,X:DOTUSD,Polkadot - United States dollar,4.1583,4.4009,4.1326,4.375,797131.4148414668,4.2943,19019
2024-10-15,X:DOTUSD,Polkadot - United States dollar,4.378,4.5398,4.292,4.407,937729.2817005209,4.4223,20564
2024-10-16,X:DOTUSD,Polkadot - United States dollar,4.4044,4.4141,4.286,4.311,540463.061474266,4.3375,13609
2024-10-17,X:DOTUSD,Polkadot - United States dollar,4.3114,4.35,4.145,4.19,676047.2490091746,4.2211,12727
2024-10-18,X:DOTUSD,Polkadot - United States dollar,4.189,4.311,4.173,4.311,485017.2375413705,4.2507,10609
2024-10-19,X:DOTUSD,Polkadot - United States dollar,4.3085,4.483,4.3085,4.431,692363.8341455259,4.4031,13132
2024-10-20,X:DOTUSD,Polkadot - United States dollar,4.4302,4.5934,4.3564,4.577,630632.3340356079,4.5028,15566
2024-10-21,X:DOTUSD,Polkadot - United States dollar,4.577,4.6152,4.333,4.376,754058.9552079876,4.4599,16861
2024-10-22,X:DOTUSD,Polkadot - United States dollar,4.3747,4.4415,4.268,4.32,735826.3167840797,4.3418,15651
2024-10-23,X:DOTUSD,Polkadot - United States dollar,4.3213,4.3289,4.1,4.206,950372.2515610129,4.2201,18940
