date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-28,X:ETHUSD,Ethereum - United States dollar,2458.44,2560.6,2418.63,2528.51,145622.6581944665,2492.7856,264495
2024-08-29,X:ETHUSD,Ethereum - United States dollar,2528.37,2601.1,2503.09,2528.61,89238.55003465191,2549.0051,207394
2024-08-30,X:ETHUSD,Ethereum - United States dollar,2528.62,2556.1,2430.25,2525.74,105351.91934766874,2494.8496,223691
2024-08-31,X:ETHUSD,Ethereum - United States dollar,2526.84,2540.0,2492.03,2512.62,18275.63782042948,2517.4895,107049
2024-09-01,X:ETHUSD,Ethereum - United States dollar,2512.65,2522.4,2399.2,2425.9,61666.266084823306,2466.4637,158389
2024-09-02,X:ETHUSD,Ethereum - United States dollar,2425.78,2571.0,2423.56,2537.81,73113.3170273943,2491.7113,151062
2024-09-03,X:ETHUSD,Ethereum - United States dollar,2538.49,2557.9,2410.52,2424.18,74437.78707263245,2466.3135,156682
2024-09-04,X:ETHUSD,Ethereum - United States dollar,2424.81,2493.4,2307.12,2450.08,134282.73460212557,2401.939,243249
2024-09-05,X:ETHUSD,Ethereum - United States dollar,2450.4,2472.0,2347.19,2367.8,88348.63701897883,2388.9833,180989
2024-09-06,X:ETHUSD,Ethereum - United States dollar,2368.17,2413.6,2150.0,2224.46,197039.72384325005,2278.6039,320821
2024-09-07,X:ETHUSD,Ethereum - United States dollar,2224.45,2317.9,2221.01,2273.1,61797.893067045,2267.6053,136994
2024-09-08,X:ETHUSD,Ethereum - United States dollar,2273.11,2339.3,2240.82,2297.47,57227.59132913471,2283.6144,114374
2024-09-09,X:ETHUSD,Ethereum - United States dollar,2297.31,2383.0,2273.0,2360.1,105244.91021665315,2327.0348,182227
2024-09-10,X:ETHUSD,Ethereum - United States dollar,2359.08,2403.4,2320.91,2388.26,71363.16266401157,2357.5437,158412
2024-09-11,X:ETHUSD,Ethereum - United States dollar,2387.78,2393.8,2278.81,2339.99,13377.4743834199,2332.0814,17243
2024-09-12,X:ETHUSD,Ethereum - United States dollar,2340.0,2396.5,2315.98,2361.34,8712.893181899992,2350.8072,12430
2024-09-13,X:ETHUSD,Ethereum - United States dollar,2361.34,2469.1,2338.17,2440.89,12372.057495419936,2409.1594,13502
2024-09-14,X:ETHUSD,Ethereum - United States dollar,2441.43,2444.5,2381.0,2416.99,11768.906663519952,2420.906,12616
2024-09-15,X:ETHUSD,Ethereum - United States dollar,2417.0,2436.3,2286.06,2323.2,6882.086577850049,2369.477,11632
2024-09-16,X:ETHUSD,Ethereum - United States dollar,2316.26,2340.2,2253.06,2295.03,11701.960344229954,2291.0337,14303
2024-09-17,X:ETHUSD,Ethereum - United States dollar,2295.03,2396.4,2262.99,2342.1,99281.57918374668,2338.0412,175833
2024-09-18,X:ETHUSD,Ethereum - United States dollar,2341.69,2379.6,2277.05,2374.59,109171.80745083388,2321.6657,201149
2024-09-19,X:ETHUSD,Ethereum - United States dollar,2374.47,2498.0,2372.73,2465.84,133354.44687481743,2440.654,250253
2024-09-20,X:ETHUSD,Ethereum - United States dollar,2464.52,2576.3,2437.49,2562.02,143736.43429209036,2536.7365,273648
2024-09-21,X:ETHUSD,Ethereum - United States dollar,2562.1,2623.53,2528.75,2613.16,79552.51843341361,2567.4543,184557
2024-09-22,X:ETHUSD,Ethereum - United States dollar,2615.01,2633.2,2525.0,2580.92,68466.8773639721,2581.5007,175759
2024-09-23,X:ETHUSD,Ethereum - United States dollar,2582.0,2708.8,2539.64,2646.72,144997.4299334032,2655.5732,282347
2024-09-24,X:ETHUSD,Ethereum - United States dollar,2647.16,2675.8,2591.67,2653.31,118077.97706444254,2636.3945,250177
2024-09-25,X:ETHUSD,Ethereum - United States dollar,2653.14,2678.7,2553.93,2579.25,85795.88922141296,2603.9403,194404
2024-09-26,X:ETHUSD,Ethereum - United States dollar,2579.15,2670.1,2558.84,2632.53,88977.5477434452,2630.9667,199055
2024-09-27,X:ETHUSD,Ethereum - United States dollar,2632.14,2732.1,2615.45,2695.37,113415.56889186057,2678.4141,257176
2024-09-28,X:ETHUSD,Ethereum - United States dollar,2695.01,2710.1,2650.16,2675.79,30721.511532759883,2679.466,133119
2024-09-29,X:ETHUSD,Ethereum - United States dollar,2675.74,2689.1,2634.38,2657.89,33301.46479504907,2658.1896,124456
2024-09-30,X:ETHUSD,Ethereum - United States dollar,2658.03,2668.9,2573.89,2601.27,84693.08198478003,2613.9246,195913
2024-10-01,X:ETHUSD,Ethereum - United States dollar,2602.42,2663.4,2413.11,2447.55,181640.86113939635,2542.8633,281603
2024-10-02,X:ETHUSD,Ethereum - United States dollar,2447.38,2504.1,2351.92,2363.76,107904.98242931683,2428.5997,221164
2024-10-03,X:ETHUSD,Ethereum - United States dollar,2363.92,2406.0,2309.17,2349.96,85465.39001646958,2349.4141,197275
2024-10-04,X:ETHUSD,Ethereum - United States dollar,2349.46,2445.2,2338.96,2414.43,75055.46542463667,2394.2955,174494
2024-10-05,X:ETHUSD,Ethereum - United States dollar,2414.59,2432.8,2389.68,2414.51,22264.789318790386,2411.5221,120974
2024-10-06,X:ETHUSD,Ethereum - United States dollar,2414.76,2458.7,2406.0,2439.83,25838.005905410137,2433.2546,114045
2024-10-07,X:ETHUSD,Ethereum - United States dollar,2439.82,2522.3,2402.32,2421.68,92690.68735351878,2469.2354,181520
2024-10-08,X:ETHUSD,Ethereum - United States dollar,2421.68,2467.3,2399.24,2439.48,69068.32356516634,2433.8393,149154
2024-10-09,X:ETHUSD,Ethereum - United States dollar,2439.23,2475.0,2349.63,2368.66,78265.9843280371,2419.7481,178969
