date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-28,X:LINKUSD,Chainlink - United States dollar,11.15934,11.726,10.94,11.172,1487183.7609938742,11.2554,42419
2024-08-29,X:LINKUSD,Chainlink - United States dollar,11.177,11.469,10.814,10.946,1162727.6647414041,11.1636,26912
2024-08-30,X:LINKUSD,Chainlink - United States dollar,10.942,11.198,10.5,11.107,1107551.2987158508,10.922,30477
2024-08-31,X:LINKUSD,Chainlink - United States dollar,11.114,11.218,10.929,11.01,514223.5412517979,11.075,12379
2024-09-01,X:LINKUSD,Chainlink - United States dollar,11.011,11.041,10.22906,10.368,868927.0534963976,10.6672,31407
2024-09-02,X:LINKUSD,Chainlink - United States dollar,10.365,10.835,10.319,10.761,852916.0595598487,10.616,25492
2024-09-03,X:LINKUSD,Chainlink - United States dollar,10.761,10.897,10.20714,10.31,1024313.1311933998,10.4906,23390
2024-09-04,X:LINKUSD,Chainlink - United States dollar,10.3104,10.508,9.81522,10.333,1549147.8472144052,10.2397,39117
2024-09-05,X:LINKUSD,Chainlink - United States dollar,10.332,10.415,9.909,10.025,908264.2639136934,10.1314,23472
2024-09-06,X:LINKUSD,Chainlink - United States dollar,10.023,10.191,9.27987,9.576,1995509.0852560785,9.7085,60973
2024-09-07,X:LINKUSD,Chainlink - United States dollar,9.574,10.182,9.556,10.027,1210204.2504007216,9.9358,24250
2024-09-08,X:LINKUSD,Chainlink - United States dollar,10.027,10.467,9.965,10.351,950918.1322184347,10.2387,22214
2024-09-09,X:LINKUSD,Chainlink - United States dollar,10.351,10.849,10.271,10.539,2023476.044055742,10.5416,45651
2024-09-10,X:LINKUSD,Chainlink - United States dollar,10.539,10.752,10.329,10.59,1018959.3325031324,10.5273,24232
2024-09-11,X:LINKUSD,Chainlink - United States dollar,10.59057,10.598,10.172,10.396,1344880.14265215,10.3844,35793
2024-09-12,X:LINKUSD,Chainlink - United States dollar,10.39186,10.833,10.39186,10.78795,92127.43781566972,10.6418,2537
2024-09-13,X:LINKUSD,Chainlink - United States dollar,10.78795,11.592,10.65023,11.44909,216718.7990497297,11.1278,3974
2024-09-14,X:LINKUSD,Chainlink - United States dollar,11.45955,11.486,11.21851,11.30166,68070.9561960101,11.3459,2066
2024-09-15,X:LINKUSD,Chainlink - United States dollar,11.3018,11.38,10.80286,10.82257,86796.03204897977,11.1481,1940
2024-09-16,X:LINKUSD,Chainlink - United States dollar,10.80488,10.827,10.41616,10.5486,82281.11221251973,10.5652,2491
2024-09-17,X:LINKUSD,Chainlink - United States dollar,10.535,10.932,10.434,10.627,1524619.788437435,10.6789,31832
2024-09-18,X:LINKUSD,Chainlink - United States dollar,10.62497,10.894,10.289,10.891,1574119.6848478138,10.5618,32445
2024-09-19,X:LINKUSD,Chainlink - United States dollar,10.894,11.414,10.88445,11.202,1947622.555710108,11.1656,44748
2024-09-20,X:LINKUSD,Chainlink - United States dollar,11.2045,11.737,11.124,11.439,1630849.2959230477,11.5035,35422
2024-09-21,X:LINKUSD,Chainlink - United States dollar,11.44,11.546,11.20968,11.49,783880.5121073294,11.3746,23047
2024-09-22,X:LINKUSD,Chainlink - United States dollar,11.493,11.55123,10.853,11.13,1024827.2208696273,11.1849,24287
2024-09-23,X:LINKUSD,Chainlink - United States dollar,11.132,11.612,10.915,11.389,1463173.9006572852,11.3963,33815
2024-09-24,X:LINKUSD,Chainlink - United States dollar,11.393,12.241,11.192,12.148,2200166.4139256235,11.6795,38871
2024-09-25,X:LINKUSD,Chainlink - United States dollar,12.14623,12.568,12.061,12.102,1788020.481763609,12.263,41597
2024-09-26,X:LINKUSD,Chainlink - United States dollar,12.106,12.764,11.872,12.558,2218861.4343767525,12.3773,56739
2024-09-27,X:LINKUSD,Chainlink - United States dollar,12.558,12.888,12.45,12.669,1497663.6925709837,12.6982,38152
2024-09-28,X:LINKUSD,Chainlink - United States dollar,12.67,12.99,12.368,12.944,1123339.4045421479,12.763,27139
2024-09-29,X:LINKUSD,Chainlink - United States dollar,12.948,12.983,12.437,12.467,940781.8489834873,12.6295,22756
2024-09-30,X:LINKUSD,Chainlink - United States dollar,12.467,12.486,11.757,11.847,1634592.828055801,12.1014,36387
2024-10-01,X:LINKUSD,Chainlink - United States dollar,11.847,12.266,10.83697,11.015,2686451.894851346,11.4518,67707
2024-10-02,X:LINKUSD,Chainlink - United States dollar,11.00932,11.328,10.45,10.653,1945883.780347127,10.8779,50813
2024-10-03,X:LINKUSD,Chainlink - United States dollar,10.649,10.871,10.342,10.657,1732703.7653982183,10.5989,43664
2024-10-04,X:LINKUSD,Chainlink - United States dollar,10.658,11.261,10.594,11.074,1379034.64862598,10.9837,32998
2024-10-05,X:LINKUSD,Chainlink - United States dollar,11.077,11.389,10.98285,11.262,988706.801795803,11.2199,21086
2024-10-06,X:LINKUSD,Chainlink - United States dollar,11.266,11.395,11.16,11.276,1033663.6451653829,11.2677,23241
2024-10-07,X:LINKUSD,Chainlink - United States dollar,11.275,11.751,11.13028,11.157,2146561.110719039,11.435,42036
2024-10-08,X:LINKUSD,Chainlink - United States dollar,11.15746,11.295,10.783,10.826,1447547.0279149923,11.021,30352
2024-10-09,X:LINKUSD,Chainlink - United States dollar,10.82064,10.963,10.404,10.52747,1326188.9482576468,10.6705,31212
2024-10-10,X:LINKUSD,Chainlink - United States dollar,10.529,10.74,10.24,10.55,1361262.694934096,10.5248,28225
2024-10-11,X:LINKUSD,Chainlink - United States dollar,10.55,11.023,10.494,10.899,1626493.3042499213,10.7764,35511
2024-10-12,X:LINKUSD,Chainlink - United States dollar,10.901,11.165,10.834,10.997,892574.2425582989,11.0208,23701
2024-10-13,X:LINKUSD,Chainlink - United States dollar,10.998,11.079,10.622,10.741,966763.3668844365,10.8265,24189
2024-10-14,X:LINKUSD,Chainlink - United States dollar,10.746,11.339,10.599,11.282,2177106.174170994,11.046,47497
2024-10-15,X:LINKUSD,Chainlink - United States dollar,11.28,11.687,10.932,11.455,2727111.622369532,11.3824,56395
2024-10-16,X:LINKUSD,Chainlink - United States dollar,11.45,11.5271,11.0485,11.243,1711327.3210849846,11.2854,39020
2024-10-17,X:LINKUSD,Chainlink - United States dollar,11.244,11.347,10.835,11.025,1319072.495730197,11.0449,28487
2024-10-18,X:LINKUSD,Chainlink - United States dollar,11.026,11.506,10.974,11.478,1276513.5437300291,11.35,30579
