date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:MANAUSD,Decentraland - United States dollar,0.27214,0.2743,0.2666,0.2694,426941.9232740001,0.2714,558
2024-09-01,X:MANAUSD,Decentraland - United States dollar,0.2694,0.2696,0.2525,0.2537,555338.4760584403,0.2597,789
2024-09-02,X:MANAUSD,Decentraland - United States dollar,0.2539,0.2673,0.2532,0.2652,825476.1954261608,0.2618,805
2024-09-03,X:MANAUSD,Decentraland - United States dollar,0.2656,0.2677,0.254,0.2551,1122761.5833880396,0.2596,1132
2024-09-04,X:MANAUSD,Decentraland - United States dollar,0.2549,0.2677,0.2426,0.2647,1227622.1084345814,0.2578,1701
2024-09-05,X:MANAUSD,Decentraland - United States dollar,0.2641,0.2665,0.2546,0.2579,701393.6936068401,0.2604,837
2024-09-06,X:MANAUSD,Decentraland - United States dollar,0.2578,0.2626,0.2386,0.24841,1870899.2972887517,0.2505,2214
2024-09-07,X:MANAUSD,Decentraland - United States dollar,0.2485,0.2599,0.2475,0.2546,438652.9204075103,0.2534,833
2024-09-08,X:MANAUSD,Decentraland - United States dollar,0.2542,0.2619,0.2534,0.2578,497536.9005979202,0.2581,739
2024-09-09,X:MANAUSD,Decentraland - United States dollar,0.2587,0.2721,0.2571,0.2678,506524.9975396201,0.2656,925
2024-09-10,X:MANAUSD,Decentraland - United States dollar,0.2667,0.2721,0.2639,0.26997,561845.3377945406,0.2676,862
2024-09-11,X:MANAUSD,Decentraland - United States dollar,0.26985,0.2699,0.25777,0.26754,181904.36658162987,0.2645,218
2024-09-12,X:MANAUSD,Decentraland - United States dollar,0.26759,0.2761,0.26759,0.2761,48006.10634082998,0.2719,107
2024-09-13,X:MANAUSD,Decentraland - United States dollar,0.27674,0.28255,0.27406,0.28027,186643.41930391002,0.2791,213
2024-09-14,X:MANAUSD,Decentraland - United States dollar,0.28046,0.28125,0.27215,0.27484,77399.14255075,0.2747,113
2024-09-15,X:MANAUSD,Decentraland - United States dollar,0.27601,0.27849,0.26771,0.26922,88275.58899675,0.2749,96
2024-09-16,X:MANAUSD,Decentraland - United States dollar,0.26848,0.26989,0.26088,0.26228,66314.92447112,0.2632,98
2024-09-17,X:MANAUSD,Decentraland - United States dollar,0.2647,0.2783,0.2623,0.2765,516674.00277351955,0.2745,957
2024-09-18,X:MANAUSD,Decentraland - United States dollar,0.2772,0.28378,0.2654,0.28378,671961.7046581601,0.2741,1432
