date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:MKRUSD,Maker - United States dollar,1766.2,1776.1,1742.05,1757.61,856.6404247199938,1757.3374,9864
2024-09-01,X:MKRUSD,Maker - United States dollar,1756.88,1764.5,1666.14,1686.43,1038.6118786800082,1726.8381,8765
2024-09-02,X:MKRUSD,Maker - United States dollar,1687.27,1778.2,1681.56,1755.45,2198.7294850600224,1734.9511,13433
2024-09-03,X:MKRUSD,Maker - United States dollar,1756.16,1778.6,1667.67,1680.39,1647.552201050073,1718.0409,13235
2024-09-04,X:MKRUSD,Maker - United States dollar,1679.8,1706.51,1608.29,1671.82,2582.740483460059,1657.5147,16304
2024-09-05,X:MKRUSD,Maker - United States dollar,1670.36,1691.7,1611.86,1626.52,1405.9658751799966,1635.9376,8096
2024-09-06,X:MKRUSD,Maker - United States dollar,1625.32,1653.3,1486.58,1531.16,1828.1132821699857,1580.9872,16907
2024-09-07,X:MKRUSD,Maker - United States dollar,1530.58,1566.1,1522.73,1541.96,619.4322609099969,1541.4945,4815
2024-09-08,X:MKRUSD,Maker - United States dollar,1541.66,1575.5,1504.08,1541.36,1026.3646419099991,1540.0694,6289
2024-09-09,X:MKRUSD,Maker - United States dollar,1542.33,1674.08,1525.92,1611.56,2603.034093290028,1613.9627,29241
2024-09-10,X:MKRUSD,Maker - United States dollar,1611.6,1619.4,1571.87,1608.38,1033.1198275499992,1590.9951,14123
2024-09-11,X:MKRUSD,Maker - United States dollar,1609.2,1609.2,1530.3,1599.8,132.05204198999985,1567.0144,752
2024-09-12,X:MKRUSD,Maker - United States dollar,1598.0,1631.2,1595.7,1627.7,103.81845841999998,1611.4364,486
2024-09-13,X:MKRUSD,Maker - United States dollar,1626.2,1641.2,1590.3,1632.5,57.1396157199999,1617.2696,444
2024-09-14,X:MKRUSD,Maker - United States dollar,1635.4,1667.1,1580.5,1607.0,127.89349356999962,1624.549,790
2024-09-15,X:MKRUSD,Maker - United States dollar,1604.1,1622.6,1519.0,1542.9,79.86139527000005,1575.154,419
2024-09-16,X:MKRUSD,Maker - United States dollar,1542.3,1543.9,1500.0,1523.4,59.82590424999996,1518.3828,380
2024-09-17,X:MKRUSD,Maker - United States dollar,1523.38,1568.4,1478.5,1497.59,883.5676039400066,1522.5206,7086
2024-09-18,X:MKRUSD,Maker - United States dollar,1495.36,1516.0,1431.81,1514.86,938.2655047999988,1471.5019,7684
2024-09-19,X:MKRUSD,Maker - United States dollar,1516.0,1584.0,1509.93,1523.67,1663.40219538998,1539.3886,13275
2024-09-20,X:MKRUSD,Maker - United States dollar,1523.66,1913.9,1501.53,1519.31,2006.4951958700328,1541.9682,13615
2024-09-21,X:MKRUSD,Maker - United States dollar,1518.5,1591.53,1480.26,1582.33,1400.2905731399549,1522.5341,10096
2024-09-22,X:MKRUSD,Maker - United States dollar,1582.47,1632.61,1536.05,1582.8,2490.677370389982,1587.0325,16349
2024-09-23,X:MKRUSD,Maker - United States dollar,1583.42,1657.9,1550.05,1633.73,2784.941608469964,1618.1319,14784
2024-09-24,X:MKRUSD,Maker - United States dollar,1634.2,1641.6,1558.01,1592.93,2053.583085869986,1598.6139,12149
2024-09-25,X:MKRUSD,Maker - United States dollar,1593.01,1611.26,1540.92,1549.93,1350.1946099099869,1576.8708,8074
2024-09-26,X:MKRUSD,Maker - United States dollar,1549.26,1617.7,1523.73,1607.24,1450.5019967199962,1581.0345,10340
2024-09-27,X:MKRUSD,Maker - United States dollar,1606.5,1724.2,1599.36,1704.06,2876.013137280035,1661.7643,16316
2024-09-28,X:MKRUSD,Maker - United States dollar,1704.24,1719.5,1662.27,1687.41,878.1607648799937,1695.5329,8438
2024-09-29,X:MKRUSD,Maker - United States dollar,1687.05,1692.92,1640.65,1655.43,1096.4019171699915,1661.1859,7022
2024-09-30,X:MKRUSD,Maker - United States dollar,1656.29,1672.55,1540.0,1568.21,2856.8282993500206,1607.5926,15697
2024-10-01,X:MKRUSD,Maker - United States dollar,1568.25,1614.3,1444.9,1485.49,2813.2472928900693,1526.0528,19807
2024-10-02,X:MKRUSD,Maker - United States dollar,1484.73,1529.3,1421.86,1450.4,6755.289988779982,1476.8032,22266
2024-10-03,X:MKRUSD,Maker - United States dollar,1450.74,1480.1,1377.65,1434.77,6708.552572020103,1425.8519,21366
2024-10-04,X:MKRUSD,Maker - United States dollar,1436.19,1469.2,1424.91,1459.4,1123.786546889999,1451.9285,10135
2024-10-05,X:MKRUSD,Maker - United States dollar,1460.23,1466.7,1435.7,1455.4,392.8264533399995,1448.0489,3021
2024-10-06,X:MKRUSD,Maker - United States dollar,1457.29,1478.24,1448.06,1455.02,428.19977643000567,1462.7486,4605
2024-10-07,X:MKRUSD,Maker - United States dollar,1455.37,1503.7,1385.84,1403.53,7347.76521227987,1406.2446,27335
2024-10-08,X:MKRUSD,Maker - United States dollar,1403.34,1431.5,1396.67,1410.99,1698.139416410002,1413.4937,9165
2024-10-09,X:MKRUSD,Maker - United States dollar,1409.83,1422.05,1336.44,1349.74,5642.28501511003,1364.7738,14824
2024-10-10,X:MKRUSD,Maker - United States dollar,1349.85,1376.0,1319.87,1353.8,3171.3684825500236,1337.8571,10581
2024-10-11,X:MKRUSD,Maker - United States dollar,1354.05,1383.9,1350.82,1365.13,883.7600111300005,1367.239,7930
2024-10-12,X:MKRUSD,Maker - United States dollar,1365.76,1385.0,1349.95,1355.41,1334.7081729999832,1365.4242,18548
2024-10-13,X:MKRUSD,Maker - United States dollar,1355.51,1364.3,1307.22,1329.11,3028.709218349973,1328.8881,19425
2024-10-14,X:MKRUSD,Maker - United States dollar,1329.11,1398.96,1320.83,1398.47,2263.31347692004,1353.7996,16822
2024-10-15,X:MKRUSD,Maker - United States dollar,1398.96,1442.3,1292.16,1324.96,8636.627838119795,1339.2496,39195
2024-10-16,X:MKRUSD,Maker - United States dollar,1324.36,1343.48,1273.71,1279.1,7891.522485020039,1291.143,27036
2024-10-17,X:MKRUSD,Maker - United States dollar,1279.1,1297.15,1180.0,1201.15,10343.058003899607,1227.8708,24615
2024-10-18,X:MKRUSD,Maker - United States dollar,1201.0,1231.96,1171.62,1206.93,3551.060528220029,1201.2376,16932
2024-10-19,X:MKRUSD,Maker - United States dollar,1204.39,1230.0,1198.56,1213.45,1300.172563709969,1211.8722,8114
2024-10-20,X:MKRUSD,Maker - United States dollar,1214.43,1241.51,1197.52,1230.69,1463.0439899800347,1217.8557,10236
2024-10-21,X:MKRUSD,Maker - United States dollar,1230.83,1241.66,1178.0,1182.84,1252.784936689981,1208.3313,7863
2024-10-22,X:MKRUSD,Maker - United States dollar,1182.46,1224.54,1154.87,1215.08,3494.050610600121,1179.7825,20911
2024-10-23,X:MKRUSD,Maker - United States dollar,1215.47,1222.71,1127.7,1158.45,2323.537571650082,1174.5437,26548
2024-10-24,X:MKRUSD,Maker - United States dollar,1158.45,1174.77,1130.0,1135.1,1583.4362918499883,1145.8456,29037
2024-10-25,X:MKRUSD,Maker - United States dollar,1135.1,1137.0,1001.7,1061.24,2992.709835129997,1088.5675,27637
2024-10-26,X:MKRUSD,Maker - United States dollar,1061.04,1135.63,1054.48,1100.58,2026.777307829966,1096.1693,15381
2024-10-27,X:MKRUSD,Maker - United States dollar,1100.83,1115.23,1073.16,1102.74,1124.9865074600111,1101.8631,9446
2024-10-28,X:MKRUSD,Maker - United States dollar,1103.14,1130.8,1089.53,1115.2,1571.5549394800207,1107.6799,19653
2024-10-29,X:MKRUSD,Maker - United States dollar,1115.25,1160.53,1108.69,1156.76,2313.4051636900126,1129.422,27566
2024-10-30,X:MKRUSD,Maker - United States dollar,1156.51,1270.6,1134.5,1246.16,3870.4879142900077,1220.2396,34948
2024-10-31,X:MKRUSD,Maker - United States dollar,1245.91,1335.2,1237.32,1269.68,4396.686474520136,1277.2233,36364
2024-11-01,X:MKRUSD,Maker - United States dollar,1269.53,1325.0,1249.75,1265.24,2935.148304730057,1281.1071,29880
2024-11-02,X:MKRUSD,Maker - United States dollar,1265.49,1268.6,1196.41,1211.57,1128.2463662199798,1223.4833,11735
