date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-28,X:NEARUSD,NEAR Protocol - United States dollar,4.526,4.604,4.21,4.344,2737233.197518873,4.427,39238
2024-08-29,X:NEARUSD,NEAR Protocol - United States dollar,4.345,4.564,4.117,4.213,1612131.8618570094,4.3419,26116
2024-08-30,X:NEARUSD,NEAR Protocol - United States dollar,4.213,4.306,3.933,4.116,1741642.6055375556,4.1,31814
2024-08-31,X:NEARUSD,NEAR Protocol - United States dollar,4.114,4.1715,3.975,4.029,1047896.4675184357,4.0704,19670
2024-09-01,X:NEARUSD,NEAR Protocol - United States dollar,4.028,4.079,3.81,3.848,1180078.150677891,3.9528,17261
2024-09-02,X:NEARUSD,NEAR Protocol - United States dollar,3.849,4.0361,3.836,3.99,1556552.5927240232,3.9259,23104
2024-09-03,X:NEARUSD,NEAR Protocol - United States dollar,3.99,4.0799,3.707,3.724,1588247.8488347854,3.8809,19247
2024-09-04,X:NEARUSD,NEAR Protocol - United States dollar,3.726,3.94,3.557,3.886,1450630.155390232,3.7707,19165
2024-09-05,X:NEARUSD,NEAR Protocol - United States dollar,3.887,3.929,3.693,3.709,1331587.909816945,3.787,16540
2024-09-06,X:NEARUSD,NEAR Protocol - United States dollar,3.71,3.809,3.409,3.547,3459700.4575556633,3.6209,33342
2024-09-07,X:NEARUSD,NEAR Protocol - United States dollar,3.543,3.7633,3.543,3.665,856088.9188078525,3.6572,9613
2024-09-08,X:NEARUSD,NEAR Protocol - United States dollar,3.665,3.817,3.643,3.753,1007490.542444929,3.7268,14190
2024-09-09,X:NEARUSD,NEAR Protocol - United States dollar,3.757,4.105,3.752,4.016,1492508.8133744027,3.9352,21607
2024-09-10,X:NEARUSD,NEAR Protocol - United States dollar,4.015,4.088,3.939,4.03,1070938.007800849,4.0192,15752
2024-09-11,X:NEARUSD,NEAR Protocol - United States dollar,4.032,4.0523,3.818,3.967,1112667.4690785226,3.947,18086
2024-09-12,X:NEARUSD,NEAR Protocol - United States dollar,3.981,4.3071,3.981,4.258,295294.32628843957,4.1975,2307
2024-09-13,X:NEARUSD,NEAR Protocol - United States dollar,4.257,4.3632,4.117,4.2913,212699.76907573993,4.2334,1632
2024-09-14,X:NEARUSD,NEAR Protocol - United States dollar,4.2927,4.3079,4.158,4.197,87732.19794756007,4.2018,1052
2024-09-15,X:NEARUSD,NEAR Protocol - United States dollar,4.193,4.2679,3.999,4.0324,119456.10504463974,4.1305,1394
2024-09-16,X:NEARUSD,NEAR Protocol - United States dollar,4.018,4.0324,3.853,3.891,277986.03305953986,3.916,1818
2024-09-17,X:NEARUSD,NEAR Protocol - United States dollar,3.878,4.305,3.829,4.135,1668324.6844315934,4.1244,23492
2024-09-18,X:NEARUSD,NEAR Protocol - United States dollar,4.131,4.2705,3.934,4.253,1462584.931348077,4.07,25790
2024-09-19,X:NEARUSD,NEAR Protocol - United States dollar,4.253,4.5911,4.225,4.363,3056868.289237648,4.4625,42671
2024-09-20,X:NEARUSD,NEAR Protocol - United States dollar,4.363,4.51,4.258,4.386,2039659.2425482355,4.3959,29470
2024-09-21,X:NEARUSD,NEAR Protocol - United States dollar,4.3947,4.694,4.286,4.669,1503295.4830201073,4.5033,18845
2024-09-22,X:NEARUSD,NEAR Protocol - United States dollar,4.665,4.687,4.382,4.528,1873043.092988325,4.5123,24224
2024-09-23,X:NEARUSD,NEAR Protocol - United States dollar,4.526,5.311,4.4,5.172,6537185.605500688,4.9604,70232
2024-09-24,X:NEARUSD,NEAR Protocol - United States dollar,5.174,5.401,5.054,5.346,4573154.822740969,5.2399,65085
2024-09-25,X:NEARUSD,NEAR Protocol - United States dollar,5.341,5.473,5.107,5.143,2686164.910320637,5.2669,43573
2024-09-26,X:NEARUSD,NEAR Protocol - United States dollar,5.14,5.9,5.113,5.55,6339738.559010052,5.5663,92175
2024-09-27,X:NEARUSD,NEAR Protocol - United States dollar,5.551,5.755,5.294,5.454,5189110.003707668,5.4791,57097
2024-09-28,X:NEARUSD,NEAR Protocol - United States dollar,5.453,5.577,5.333,5.56,1458440.9636176834,5.4656,31701
2024-09-29,X:NEARUSD,NEAR Protocol - United States dollar,5.562,5.6326,5.353,5.5,1537408.5972523273,5.4735,29951
2024-09-30,X:NEARUSD,NEAR Protocol - United States dollar,5.501,5.514,5.225,5.288,2138555.513613007,5.363,45108
2024-10-01,X:NEARUSD,NEAR Protocol - United States dollar,5.285,5.5684,4.596,4.837,3103200.5019723405,5.0907,50822
2024-10-02,X:NEARUSD,NEAR Protocol - United States dollar,4.836,5.001,4.523,4.625,2319713.8088605595,4.764,41389
2024-10-03,X:NEARUSD,NEAR Protocol - United States dollar,4.624,4.7782,4.42,4.638,1921842.4006567607,4.5804,44807
2024-10-04,X:NEARUSD,NEAR Protocol - United States dollar,4.638,4.8725,4.59,4.83,1760188.813494893,4.7579,28668
2024-10-05,X:NEARUSD,NEAR Protocol - United States dollar,4.831,4.871,4.63,4.777,1146434.4201651644,4.7368,16602
2024-10-06,X:NEARUSD,NEAR Protocol - United States dollar,4.776,4.977,4.714,4.953,957955.1034420854,4.8251,14694
2024-10-07,X:NEARUSD,NEAR Protocol - United States dollar,4.951,5.3284,4.917,5.041,2118685.6976121645,5.1747,34895
2024-10-08,X:NEARUSD,NEAR Protocol - United States dollar,5.044,5.1556,4.852,4.89,2053864.7464818144,4.9948,30991
2024-10-09,X:NEARUSD,NEAR Protocol - United States dollar,4.89,4.9865,4.548,4.6,1714019.7450553959,4.7595,24607
2024-10-10,X:NEARUSD,NEAR Protocol - United States dollar,4.602,4.676,4.418,4.59,1435571.2338658914,4.5485,24026
2024-10-11,X:NEARUSD,NEAR Protocol - United States dollar,4.591,4.806,4.54,4.732,1858509.829692794,4.7255,25430
2024-10-12,X:NEARUSD,NEAR Protocol - United States dollar,4.732,4.919,4.674,4.842,1892436.503069574,4.7905,26784
2024-10-13,X:NEARUSD,NEAR Protocol - United States dollar,4.842,4.8755,4.554,4.701,1907982.4587342022,4.6871,23679
2024-10-14,X:NEARUSD,NEAR Protocol - United States dollar,4.697,5.0761,4.623,5.023,2252043.015416361,4.8733,36406
2024-10-15,X:NEARUSD,NEAR Protocol - United States dollar,5.025,5.28,4.748,5.062,2674328.5137047567,5.0495,41781
2024-10-16,X:NEARUSD,NEAR Protocol - United States dollar,5.065,5.078,4.885,4.944,989145.2805354211,4.9762,18487
2024-10-17,X:NEARUSD,NEAR Protocol - United States dollar,4.944,5.0413,4.649,4.766,1469407.0818385289,4.8053,24366
2024-10-18,X:NEARUSD,NEAR Protocol - United States dollar,4.76,4.945,4.727,4.893,1140311.2518777598,4.8322,20979
2024-10-19,X:NEARUSD,NEAR Protocol - United States dollar,4.892,4.94,4.759,4.817,934637.873846184,4.8499,14776
2024-10-20,X:NEARUSD,NEAR Protocol - United States dollar,4.817,5.015,4.708,4.9885,1142333.9805092104,4.8452,18788
2024-10-21,X:NEARUSD,NEAR Protocol - United States dollar,4.979,5.06,4.75,4.778,1294973.2707578018,4.9089,23326
2024-10-22,X:NEARUSD,NEAR Protocol - United States dollar,4.778,4.84,4.616,4.676,1268013.2389850821,4.7107,22745
2024-10-23,X:NEARUSD,NEAR Protocol - United States dollar,4.678,4.688,4.442,4.646,977243.2385450394,4.5839,17552
2024-10-24,X:NEARUSD,NEAR Protocol - United States dollar,4.646,4.788,4.536,4.714,1287987.5377547867,4.6655,20845
2024-10-25,X:NEARUSD,NEAR Protocol - United States dollar,4.716,4.736,3.996,4.173,2098867.6437318707,4.4177,33744
2024-10-26,X:NEARUSD,NEAR Protocol - United States dollar,4.167,4.301,4.093,4.231,770465.9628236314,4.2109,9785
2024-10-27,X:NEARUSD,NEAR Protocol - United States dollar,4.235,4.376,4.185,4.302,472979.1194266282,4.2741,7887
2024-10-28,X:NEARUSD,NEAR Protocol - United States dollar,4.304,4.368,4.072,4.295,1578774.9184712819,4.2205,19882
2024-10-29,X:NEARUSD,NEAR Protocol - United States dollar,4.296,4.52,4.285,4.436,2427953.060505018,4.44,26985
2024-10-30,X:NEARUSD,NEAR Protocol - United States dollar,4.437,4.439,4.264,4.308,1245221.3882639837,4.3545,20668
2024-10-31,X:NEARUSD,NEAR Protocol - United States dollar,4.309,4.3327,4.014,4.05,1881883.6245596893,4.1433,30589
2024-11-01,X:NEARUSD,NEAR Protocol - United States dollar,4.048,4.16,3.86,3.927,2162787.1176776513,3.9956,35800
2024-11-02,X:NEARUSD,NEAR Protocol - United States dollar,3.925,3.987,3.767,3.81,1036573.6156313011,3.8905,16568
2024-11-03,X:NEARUSD,NEAR Protocol - United States dollar,3.807,3.835,3.554,3.685,1150477.7283865311,3.6719,16640
2024-11-04,X:NEARUSD,NEAR Protocol - United States dollar,3.685,3.758,3.503,3.619,1292859.2346300723,3.6416,21655
2024-11-05,X:NEARUSD,NEAR Protocol - United States dollar,3.619,3.936,3.608,3.81,1366205.3077799494,3.7746,24535
2024-11-06,X:NEARUSD,NEAR Protocol - United States dollar,3.808,4.291,3.808,4.235,2682353.5280131223,4.1106,43290
2024-11-07,X:NEARUSD,NEAR Protocol - United States dollar,4.234,4.3523,4.088,4.232,2419083.103692252,4.2203,60142
2024-11-08,X:NEARUSD,NEAR Protocol - United States dollar,4.232,4.393,4.132,4.332,3225477.5901889014,4.2458,69014
2024-11-09,X:NEARUSD,NEAR Protocol - United States dollar,4.332,4.695,4.24,4.638,3596443.8155846815,4.4169,65970
2024-11-10,X:NEARUSD,NEAR Protocol - United States dollar,4.64,4.974,4.446,4.723,4639909.60925184,4.7462,96190
2024-11-11,X:NEARUSD,NEAR Protocol - United States dollar,4.726,5.591,4.699,5.569,6547509.212221624,5.2718,137506
2024-11-12,X:NEARUSD,NEAR Protocol - United States dollar,5.566,5.754,4.9136,5.3306,8665003.67687794,5.2742,156383
2024-11-13,X:NEARUSD,NEAR Protocol - United States dollar,5.34,5.55,4.965,5.175,4094495.4700502125,5.2736,80163
2024-11-14,X:NEARUSD,NEAR Protocol - United States dollar,5.176,5.65,5.02,5.413,4068717.8038560967,5.3369,78679
2024-11-15,X:NEARUSD,NEAR Protocol - United States dollar,5.414,5.675,5.175,5.558,3118870.879546998,5.4767,51861
2024-11-16,X:NEARUSD,NEAR Protocol - United States dollar,5.558,6.3973,5.458,5.955,4647270.778426729,5.9806,62317
2024-11-17,X:NEARUSD,NEAR Protocol - United States dollar,5.762,5.801,5.597,5.705,751268.0211916306,5.6716,8441
2024-11-18,X:NEARUSD,NEAR Protocol - United States dollar,5.922,6.091,5.866,6.025,424118.8483571328,5.9991,8241
2024-11-19,X:NEARUSD,NEAR Protocol - United States dollar,5.855,5.9019,5.609,5.784,732455.362191313,5.742,10257
2024-11-20,X:NEARUSD,NEAR Protocol - United States dollar,5.393,5.605,5.371,5.48,387030.3331220767,5.5142,6612
