date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:SANDUSD,The Sandbox - United States dollar,0.2553,0.25821,0.2491,0.2517,447077.1378622,0.2532,2609
2024-09-01,X:SANDUSD,The Sandbox - United States dollar,0.2518,0.25358,0.2349,0.2358,910824.4642693314,0.2436,5174
2024-09-02,X:SANDUSD,The Sandbox - United States dollar,0.2352,0.25399,0.2343,0.2504,1241449.2942198673,0.244,6239
2024-09-03,X:SANDUSD,The Sandbox - United States dollar,0.2505,0.25528,0.2409,0.24202,758392.0002949245,0.2483,4465
2024-09-04,X:SANDUSD,The Sandbox - United States dollar,0.2415,0.2545,0.2288,0.25,1789877.4926754157,0.2435,7067
2024-09-05,X:SANDUSD,The Sandbox - United States dollar,0.2498,0.25153,0.2414,0.2438,649777.1279042816,0.2466,4440
2024-09-06,X:SANDUSD,The Sandbox - United States dollar,0.2435,0.24977,0.2261,0.2349,1326429.8351468637,0.2391,7739
2024-09-07,X:SANDUSD,The Sandbox - United States dollar,0.2345,0.24345,0.2325,0.2396,527757.8848371515,0.2371,2934
2024-09-08,X:SANDUSD,The Sandbox - United States dollar,0.2396,0.248,0.2386,0.2444,512421.70255651214,0.2433,3073
2024-09-09,X:SANDUSD,The Sandbox - United States dollar,0.2448,0.2581,0.2435,0.2541,623185.2086113418,0.2511,4350
2024-09-10,X:SANDUSD,The Sandbox - United States dollar,0.2544,0.2573,0.2498,0.2548,669766.0456053292,0.2539,3280
2024-09-11,X:SANDUSD,The Sandbox - United States dollar,0.2547,0.25631,0.2435,0.2543,812676.582536569,0.2505,4323
2024-09-12,X:SANDUSD,The Sandbox - United States dollar,0.25533,0.26073,0.2536,0.25995,261908.90722185,0.256,242
2024-09-13,X:SANDUSD,The Sandbox - United States dollar,0.2597,0.2637,0.25673,0.26207,64349.53574840003,0.2613,195
2024-09-14,X:SANDUSD,The Sandbox - United States dollar,0.26088,0.26188,0.2525,0.25582,67086.01230445997,0.2552,201
2024-09-15,X:SANDUSD,The Sandbox - United States dollar,0.25537,0.25785,0.2436,0.24595,86892.08156101995,0.2519,230
2024-09-16,X:SANDUSD,The Sandbox - United States dollar,0.24507,0.2489,0.2402,0.24357,102134.13734066994,0.2417,200
2024-09-17,X:SANDUSD,The Sandbox - United States dollar,0.2426,0.2551,0.2399,0.2518,961536.5395824399,0.2491,3281
2024-09-18,X:SANDUSD,The Sandbox - United States dollar,0.2519,0.257,0.2415,0.2569,1471849.366542701,0.2492,5135
2024-09-19,X:SANDUSD,The Sandbox - United States dollar,0.2573,0.27062,0.2573,0.2682,1143273.4644464906,0.265,4506
2024-09-20,X:SANDUSD,The Sandbox - United States dollar,0.2689,0.2762,0.2647,0.2721,1157578.3554550465,0.2717,4818
2024-09-21,X:SANDUSD,The Sandbox - United States dollar,0.2718,0.29,0.2706,0.2882,1402414.707656789,0.2814,3895
2024-09-22,X:SANDUSD,The Sandbox - United States dollar,0.2884,0.2888,0.269,0.2772,902122.51209788,0.2788,3910
2024-09-23,X:SANDUSD,The Sandbox - United States dollar,0.2768,0.28366,0.2711,0.2777,1124964.671196601,0.2779,5861
2024-09-24,X:SANDUSD,The Sandbox - United States dollar,0.2784,0.2856,0.2717,0.2841,1349273.507774715,0.2796,6575
2024-09-25,X:SANDUSD,The Sandbox - United States dollar,0.2841,0.2887,0.2746,0.2763,1300550.5738161649,0.2812,6084
2024-09-26,X:SANDUSD,The Sandbox - United States dollar,0.2765,0.29148,0.2722,0.29148,2005115.331951934,0.2846,6945
2024-09-27,X:SANDUSD,The Sandbox - United States dollar,0.2908,0.3033,0.2892,0.3005,1668613.9095481534,0.2979,7288
2024-09-28,X:SANDUSD,The Sandbox - United States dollar,0.2996,0.30174,0.2871,0.2924,1207866.7011816606,0.2926,5305
2024-09-29,X:SANDUSD,The Sandbox - United States dollar,0.292,0.298,0.2846,0.2901,1188355.7239000695,0.2905,6046
2024-09-30,X:SANDUSD,The Sandbox - United States dollar,0.2906,0.29251,0.2675,0.27046,1647028.398872937,0.2806,8918
2024-10-01,X:SANDUSD,The Sandbox - United States dollar,0.2693,0.27916,0.242,0.24978,2894310.7246371186,0.2585,12640
2024-10-02,X:SANDUSD,The Sandbox - United States dollar,0.2497,0.25739,0.238,0.2437,2692316.3483620393,0.2476,11236
2024-10-03,X:SANDUSD,The Sandbox - United States dollar,0.2434,0.24839,0.2354,0.245,5056864.777021293,0.241,13286
2024-10-04,X:SANDUSD,The Sandbox - United States dollar,0.2452,0.25459,0.2434,0.25338,1834739.1443099694,0.2494,6540
2024-10-05,X:SANDUSD,The Sandbox - United States dollar,0.2529,0.2562,0.2488,0.2519,445561.70859768766,0.2527,2661
2024-10-06,X:SANDUSD,The Sandbox - United States dollar,0.252,0.2589,0.2506,0.25763,584241.2730103101,0.2555,3014
2024-10-07,X:SANDUSD,The Sandbox - United States dollar,0.2577,0.264,0.2534,0.2542,1415148.3703595195,0.26,6091
2024-10-08,X:SANDUSD,The Sandbox - United States dollar,0.2542,0.258,0.2483,0.2506,1298143.8461956242,0.2531,6642
2024-10-09,X:SANDUSD,The Sandbox - United States dollar,0.2506,0.25408,0.2415,0.2454,987987.2557333477,0.2475,5473
2024-10-10,X:SANDUSD,The Sandbox - United States dollar,0.2455,0.24947,0.2394,0.2473,1037163.5135973378,0.2454,5272
2024-10-11,X:SANDUSD,The Sandbox - United States dollar,0.24798,0.26019,0.2466,0.2588,732027.8715289319,0.2545,3589
2024-10-12,X:SANDUSD,The Sandbox - United States dollar,0.2591,0.267,0.2583,0.26514,694410.4120894511,0.2627,3061
2024-10-13,X:SANDUSD,The Sandbox - United States dollar,0.2653,0.2687,0.2566,0.26232,749056.347587548,0.2628,4318
2024-10-14,X:SANDUSD,The Sandbox - United States dollar,0.2619,0.2792,0.2592,0.2766,1396313.1270021957,0.272,6749
2024-10-15,X:SANDUSD,The Sandbox - United States dollar,0.277,0.2785,0.2605,0.27027,1531974.1847063082,0.2705,9219
2024-10-16,X:SANDUSD,The Sandbox - United States dollar,0.2703,0.27141,0.2637,0.2693,961297.6582590331,0.2674,5975
2024-10-17,X:SANDUSD,The Sandbox - United States dollar,0.2698,0.2706,0.2529,0.2589,838102.9984328628,0.2598,5231
2024-10-18,X:SANDUSD,The Sandbox - United States dollar,0.2582,0.2817,0.2563,0.28035,1171198.75077084,0.2686,5901
2024-10-19,X:SANDUSD,The Sandbox - United States dollar,0.2811,0.297,0.2757,0.281,2420893.703039896,0.2876,9669
2024-10-20,X:SANDUSD,The Sandbox - United States dollar,0.281,0.2892,0.27727,0.2867,1911166.5996329978,0.2844,7664
2024-10-21,X:SANDUSD,The Sandbox - United States dollar,0.2879,0.2906,0.2753,0.2766,1805203.8782927766,0.283,7700
2024-10-22,X:SANDUSD,The Sandbox - United States dollar,0.2761,0.2814,0.2673,0.2801,1373071.7488101963,0.274,6953
2024-10-23,X:SANDUSD,The Sandbox - United States dollar,0.2804,0.2826,0.2568,0.2642,1084255.9730675453,0.2675,6654
2024-10-24,X:SANDUSD,The Sandbox - United States dollar,0.2641,0.269,0.2579,0.26658,1008073.334614302,0.2638,4827
2024-10-25,X:SANDUSD,The Sandbox - United States dollar,0.267,0.2671,0.2348,0.2436,1635819.5397248897,0.2546,7811
2024-10-26,X:SANDUSD,The Sandbox - United States dollar,0.2428,0.24842,0.2382,0.2476,1378553.4333835307,0.2448,5003
2024-10-27,X:SANDUSD,The Sandbox - United States dollar,0.2474,0.2538,0.246,0.2513,677039.7368547706,0.2505,2880
2024-10-28,X:SANDUSD,The Sandbox - United States dollar,0.2512,0.2563,0.2424,0.253,1638950.7934965931,0.2488,6053
2024-10-29,X:SANDUSD,The Sandbox - United States dollar,0.25368,0.2625,0.2524,0.2599,1422448.833269786,0.2566,5468
2024-10-30,X:SANDUSD,The Sandbox - United States dollar,0.2595,0.2605,0.251,0.2564,1060537.2115061358,0.2561,5015
2024-10-31,X:SANDUSD,The Sandbox - United States dollar,0.2566,0.2573,0.2406,0.243,1306558.7036011056,0.2477,5160
2024-11-01,X:SANDUSD,The Sandbox - United States dollar,0.2429,0.2495,0.2367,0.244,1225950.4267819386,0.2426,5391
2024-11-02,X:SANDUSD,The Sandbox - United States dollar,0.2442,0.247,0.2379,0.2396,587442.6401977608,0.2422,2817
2024-11-03,X:SANDUSD,The Sandbox - United States dollar,0.2403,0.24091,0.2239,0.2321,1913361.7772149632,0.2303,6645
2024-11-04,X:SANDUSD,The Sandbox - United States dollar,0.232,0.236,0.2221,0.2274,1974420.664137821,0.2295,5436
2024-11-05,X:SANDUSD,The Sandbox - United States dollar,0.2275,0.2396,0.226,0.237,1189314.9760575304,0.2339,4320
2024-11-06,X:SANDUSD,The Sandbox - United States dollar,0.2371,0.2573,0.2369,0.2561,3334853.0148821496,0.2508,9019
2024-11-07,X:SANDUSD,The Sandbox - United States dollar,0.2561,0.2628,0.2532,0.2582,2104986.069570192,0.2576,7220
2024-11-08,X:SANDUSD,The Sandbox - United States dollar,0.2589,0.2652,0.2527,0.265,2038586.0005323424,0.2593,7606
2024-11-09,X:SANDUSD,The Sandbox - United States dollar,0.265,0.2766,0.2583,0.2756,2104204.8019581735,0.2651,7048
2024-11-10,X:SANDUSD,The Sandbox - United States dollar,0.2756,0.3005,0.271,0.2896,5820100.252561675,0.2881,20700
2024-11-11,X:SANDUSD,The Sandbox - United States dollar,0.2897,0.3079,0.2846,0.3059,4989025.753046671,0.2957,20107
2024-11-12,X:SANDUSD,The Sandbox - United States dollar,0.3058,0.3225,0.2821,0.3016,6745600.460130222,0.3014,32363
2024-11-13,X:SANDUSD,The Sandbox - United States dollar,0.3014,0.3084,0.2748,0.2842,5897880.791743239,0.2887,27247
2024-11-14,X:SANDUSD,The Sandbox - United States dollar,0.2831,0.2926,0.2683,0.2742,5269360.799139053,0.2797,19450
2024-11-15,X:SANDUSD,The Sandbox - United States dollar,0.2751,0.2918,0.2665,0.2917,3838874.741495281,0.2805,15409
2024-11-16,X:SANDUSD,The Sandbox - United States dollar,0.2916,0.44,0.2896,0.3947,18380245.63412117,0.3516,47788
2024-11-17,X:SANDUSD,The Sandbox - United States dollar,0.3478,0.3511,0.3407,0.348,1171690.1869494896,0.3458,4016
2024-11-18,X:SANDUSD,The Sandbox - United States dollar,0.3517,0.3698,0.3515,0.3598,1107888.5840081554,0.3581,3655
2024-11-19,X:SANDUSD,The Sandbox - United States dollar,0.3503,0.3512,0.3372,0.3496,809356.704303104,0.3442,3353
2024-11-20,X:SANDUSD,The Sandbox - United States dollar,0.3276,0.3374,0.3263,0.3334,569800.1411230374,0.3341,2567
2024-11-21,X:SANDUSD,The Sandbox - United States dollar,0.3333,0.353,0.3237,0.3482,5425497.398066691,0.3412,21831
2024-11-22,X:SANDUSD,The Sandbox - United States dollar,0.3485,0.379,0.3418,0.3777,7313397.989408261,0.3567,26512
2024-11-23,X:SANDUSD,The Sandbox - United States dollar,0.3776,0.4597,0.3723,0.4385,21369853.75096743,0.4154,40923
2024-11-24,X:SANDUSD,The Sandbox - United States dollar,0.43807,0.8171,0.40427,0.77171,954619.0,0.5836,954619
2024-11-25,X:SANDUSD,The Sandbox - United States dollar,0.7781,0.8751,0.67169,0.6994,90534476.20933197,0.7662,146550
2024-11-26,X:SANDUSD,The Sandbox - United States dollar,0.6996,0.7062,0.581,0.6122,32710184.69917608,0.6352,75167
2024-11-27,X:SANDUSD,The Sandbox - United States dollar,0.6118,0.6389,0.5773,0.6244,22367218.970163073,0.6128,57381
2024-11-28,X:SANDUSD,The Sandbox - United States dollar,0.6243,0.6246,0.5806,0.6159,10821538.240455655,0.5985,28136
2024-11-29,X:SANDUSD,The Sandbox - United States dollar,0.616,0.6921,0.6096,0.6558,26465768.953646433,0.6569,50335
2024-11-30,X:SANDUSD,The Sandbox - United States dollar,0.6561,0.72,0.6343,0.6689,14705012.665395861,0.6679,38478
2024-12-01,X:SANDUSD,The Sandbox - United States dollar,0.6693,0.6878,0.63753,0.6733,16622936.263219463,0.6606,40006
2024-12-02,X:SANDUSD,The Sandbox - United States dollar,0.6734,0.7361,0.6,0.712,16393970.341446267,0.6554,47953
2024-12-03,X:SANDUSD,The Sandbox - United States dollar,0.7121,0.8975,0.6927,0.773,58222061.222597405,0.7915,130870
2024-12-04,X:SANDUSD,The Sandbox - United States dollar,0.7734,1.0685,0.7521,0.9363,46678556.050461456,0.9396,126135
2024-12-05,X:SANDUSD,The Sandbox - United States dollar,0.9363,0.9702,0.8483,0.894,38272093.547323376,0.9153,112772
2024-12-06,X:SANDUSD,The Sandbox - United States dollar,0.894,0.9511,0.8665,0.917,20904604.46885554,0.9108,73996
2024-12-07,X:SANDUSD,The Sandbox - United States dollar,0.9169,0.9307,0.8778,0.92486,15868125.765384145,0.9061,55376
