date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-28,X:SNXUSD,Synthetix - United States dollar,1.389,1.7,1.321,1.365,680139.1523756997,1.3755,6503
2024-08-29,X:SNXUSD,Synthetix - United States dollar,1.365,1.4496,1.348,1.36,734943.49170156,1.3707,3629
2024-08-30,X:SNXUSD,Synthetix - United States dollar,1.364,1.4404,1.3,1.371,523665.2420988593,1.3363,2779
2024-08-31,X:SNXUSD,Synthetix - United States dollar,1.37,1.393,1.315,1.338,83992.3010565001,1.3431,740
2024-09-01,X:SNXUSD,Synthetix - United States dollar,1.334,1.3783,1.252,1.262,173248.80659213965,1.2951,1427
2024-09-02,X:SNXUSD,Synthetix - United States dollar,1.261,1.3575,1.254,1.3325,98925.10453622029,1.2955,1063
2024-09-03,X:SNXUSD,Synthetix - United States dollar,1.329,1.3732,1.268,1.283,112771.15810876,1.2928,1125
2024-09-04,X:SNXUSD,Synthetix - United States dollar,1.282,1.4192,1.219,1.4014,460966.5744792195,1.3439,3023
2024-09-05,X:SNXUSD,Synthetix - United States dollar,1.367,1.3992,1.266,1.277,239648.9676125306,1.312,1567
2024-09-06,X:SNXUSD,Synthetix - United States dollar,1.276,1.4,1.152,1.236,883870.1646361701,1.2493,5078
2024-09-07,X:SNXUSD,Synthetix - United States dollar,1.236,1.3497,1.229,1.2712,152383.49593441037,1.2605,1693
2024-09-08,X:SNXUSD,Synthetix - United States dollar,1.263,1.3477,1.249,1.2964,80286.68040687007,1.2816,802
2024-09-09,X:SNXUSD,Synthetix - United States dollar,1.292,1.3994,1.289,1.348,191323.99165292014,1.3359,1382
2024-09-10,X:SNXUSD,Synthetix - United States dollar,1.347,1.425,1.335,1.407,195581.25378025006,1.3835,1554
2024-09-11,X:SNXUSD,Synthetix - United States dollar,1.406,1.4499,1.353,1.369,35239.33105892,1.3979,497
2024-09-12,X:SNXUSD,Synthetix - United States dollar,1.3808,1.45,1.359,1.385,21211.56442507999,1.3888,480
2024-09-13,X:SNXUSD,Synthetix - United States dollar,1.386,1.4998,1.377,1.4664,79622.16055185994,1.4384,578
2024-09-14,X:SNXUSD,Synthetix - United States dollar,1.469,1.4996,1.429,1.4701,14141.604898350008,1.4454,341
2024-09-15,X:SNXUSD,Synthetix - United States dollar,1.44,1.4902,1.352,1.3718,32512.883564410007,1.4304,457
2024-09-16,X:SNXUSD,Synthetix - United States dollar,1.3885,1.414,1.313,1.3609,54551.79935126995,1.3477,484
2024-09-17,X:SNXUSD,Synthetix - United States dollar,1.325,1.45,1.306,1.417,261502.99004641033,1.3799,2257
2024-09-18,X:SNXUSD,Synthetix - United States dollar,1.42,1.45,1.325,1.449,638173.5829769417,1.377,2504
2024-09-19,X:SNXUSD,Synthetix - United States dollar,1.448,1.556,1.443,1.488,679368.0466752567,1.4894,3813
2024-09-20,X:SNXUSD,Synthetix - United States dollar,1.49,1.5987,1.474,1.58,320321.31978674006,1.5429,2495
2024-09-21,X:SNXUSD,Synthetix - United States dollar,1.583,1.6502,1.545,1.619,283726.49101349013,1.5935,2196
2024-09-22,X:SNXUSD,Synthetix - United States dollar,1.616,1.6406,1.49,1.53,211359.41447411032,1.5459,1993
