date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:SOLUSD,Solana - United States dollar,138.01,139.66,134.49,135.32,312881.6531163329,136.7056,82161
2024-09-01,X:SOLUSD,Solana - United States dollar,135.38,136.51,127.79,128.54,1047043.646868904,132.0844,168875
2024-09-02,X:SOLUSD,Solana - United States dollar,128.5,135.77,127.0,134.97,974014.5997113108,130.7644,165404
2024-09-03,X:SOLUSD,Solana - United States dollar,134.94,138.04,126.97,127.5,1042361.7595655117,132.0867,164216
2024-09-04,X:SOLUSD,Solana - United States dollar,127.51,135.46,122.3,133.61,1603500.7514631094,129.943,306231
2024-09-05,X:SOLUSD,Solana - United States dollar,133.62,135.79,127.89,129.36,893941.4341134429,131.4645,149595
2024-09-06,X:SOLUSD,Solana - United States dollar,129.37,134.46,120.5,125.01,2148505.10877772,127.4645,207482
2024-09-07,X:SOLUSD,Solana - United States dollar,125.02,129.89,124.1,127.71,477989.87938959716,126.9069,105635
2024-09-08,X:SOLUSD,Solana - United States dollar,127.72,131.86,126.6,130.13,521808.207752112,129.1348,96168
2024-09-09,X:SOLUSD,Solana - United States dollar,130.04,137.25,127.0,135.09,1098618.2006013405,131.5929,147079
2024-09-10,X:SOLUSD,Solana - United States dollar,135.09,138.32,132.56,135.61,757583.9206257714,135.0407,109588
2024-09-11,X:SOLUSD,Solana - United States dollar,135.67,136.13,128.27,132.49,335709.64867195865,132.132,21618
2024-09-12,X:SOLUSD,Solana - United States dollar,132.44,137.09,132.41,136.06,206968.65701013454,135.0276,14734
2024-09-13,X:SOLUSD,Solana - United States dollar,136.06,140.01,131.83,139.13,277140.063167472,135.7848,18296
2024-09-14,X:SOLUSD,Solana - United States dollar,139.12,139.92,135.67,137.21,96909.1715113001,137.4275,8935
2024-09-15,X:SOLUSD,Solana - United States dollar,137.21,138.28,130.5,131.42,183572.69292961084,134.61,12672
2024-09-16,X:SOLUSD,Solana - United States dollar,131.4,132.78,128.85,131.4,223373.49759847042,130.8382,12660
2024-09-17,X:SOLUSD,Solana - United States dollar,131.4,135.72,130.26,131.56,812270.636901522,132.7799,137118
2024-09-18,X:SOLUSD,Solana - United States dollar,131.54,134.49,127.08,134.35,1043710.8200320196,130.3044,172316
2024-09-19,X:SOLUSD,Solana - United States dollar,134.33,144.23,134.3,142.89,1797355.9372474628,139.9892,255963
