date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:SUSHIUSD,Sushi - United States dollar,0.5669,0.57372,0.5547,0.5575,338563.12408046075,0.564,1340
2024-09-01,X:SUSHIUSD,Sushi - United States dollar,0.558,0.56166,0.5277,0.5332,426639.2182295704,0.547,1892
2024-09-02,X:SUSHIUSD,Sushi - United States dollar,0.5324,0.58276,0.5309,0.574,812337.983814223,0.5611,3189
2024-09-03,X:SUSHIUSD,Sushi - United States dollar,0.5739,0.58655,0.5485,0.5491,528278.7362117104,0.5694,2725
2024-09-04,X:SUSHIUSD,Sushi - United States dollar,0.5506,0.60587,0.5265,0.5964,1202719.2113737606,0.5753,4966
2024-09-05,X:SUSHIUSD,Sushi - United States dollar,0.596,0.60543,0.5679,0.574,808995.9231646989,0.5873,3181
2024-09-06,X:SUSHIUSD,Sushi - United States dollar,0.5745,0.59081,0.5363,0.5594,763109.8031438538,0.5659,3065
2024-09-07,X:SUSHIUSD,Sushi - United States dollar,0.5575,0.57516,0.5526,0.5618,403744.8212929008,0.565,1614
2024-09-08,X:SUSHIUSD,Sushi - United States dollar,0.5611,0.5784,0.5528,0.5695,332914.46506267064,0.5654,1497
2024-09-09,X:SUSHIUSD,Sushi - United States dollar,0.5705,0.63793,0.5665,0.6325,1651792.4873669737,0.6119,6876
2024-09-10,X:SUSHIUSD,Sushi - United States dollar,0.6326,0.63274,0.6161,0.6263,620220.0392218593,0.6241,3458
2024-09-11,X:SUSHIUSD,Sushi - United States dollar,0.62625,0.62972,0.595,0.62,54551.64560679999,0.6167,430
2024-09-12,X:SUSHIUSD,Sushi - United States dollar,0.62038,0.66503,0.61746,0.66371,99034.96593887998,0.6445,595
2024-09-13,X:SUSHIUSD,Sushi - United States dollar,0.662,0.66834,0.641,0.65237,62231.78808085999,0.6547,347
2024-09-14,X:SUSHIUSD,Sushi - United States dollar,0.651,0.65741,0.64464,0.65177,27204.780205559993,0.6492,287
2024-09-15,X:SUSHIUSD,Sushi - United States dollar,0.65194,0.66343,0.617,0.62439,42665.13521600997,0.6407,493
2024-09-16,X:SUSHIUSD,Sushi - United States dollar,0.62699,0.62699,0.597,0.6,70305.95229784999,0.61,377
2024-09-17,X:SUSHIUSD,Sushi - United States dollar,0.5989,0.63293,0.5953,0.6131,573030.5301723429,0.6133,3374
2024-09-18,X:SUSHIUSD,Sushi - United States dollar,0.6131,0.6486,0.592,0.6482,712668.8439445582,0.6185,3729
2024-09-19,X:SUSHIUSD,Sushi - United States dollar,0.6485,0.67875,0.648,0.67,824794.3997217991,0.6651,4253
2024-09-20,X:SUSHIUSD,Sushi - United States dollar,0.6688,0.70098,0.6632,0.6917,878033.0181836566,0.6853,4315
2024-09-21,X:SUSHIUSD,Sushi - United States dollar,0.6913,0.7008,0.6784,0.6963,311107.1963474707,0.6915,1822
2024-09-22,X:SUSHIUSD,Sushi - United States dollar,0.6959,0.7002,0.6623,0.684,374830.89587000024,0.6833,2343
2024-09-23,X:SUSHIUSD,Sushi - United States dollar,0.6835,0.70741,0.671,0.7037,584470.6055948297,0.6979,3262
2024-09-24,X:SUSHIUSD,Sushi - United States dollar,0.7043,0.72657,0.6928,0.72421,712933.5370952567,0.7124,3420
2024-09-25,X:SUSHIUSD,Sushi - United States dollar,0.7222,0.73207,0.6993,0.7031,459448.35522825026,0.7128,2700
2024-09-26,X:SUSHIUSD,Sushi - United States dollar,0.7034,0.75532,0.6954,0.7445,601140.5435100461,0.7305,3774
2024-09-27,X:SUSHIUSD,Sushi - United States dollar,0.7465,0.82195,0.7401,0.8193,991302.7936477928,0.7813,5398
2024-09-28,X:SUSHIUSD,Sushi - United States dollar,0.8219,0.9257,0.8209,0.9131,4147988.779873898,0.8869,20552
2024-09-29,X:SUSHIUSD,Sushi - United States dollar,0.9134,0.93,0.8609,0.864,1873768.971701931,0.8913,11803
2024-09-30,X:SUSHIUSD,Sushi - United States dollar,0.864,0.86756,0.7934,0.8014,1214986.1090665243,0.8313,5744
2024-10-01,X:SUSHIUSD,Sushi - United States dollar,0.8015,0.8217,0.7,0.7098,1795506.664591563,0.7703,5626
2024-10-02,X:SUSHIUSD,Sushi - United States dollar,0.7085,0.739,0.6908,0.7035,962857.563071688,0.7192,3831
2024-10-03,X:SUSHIUSD,Sushi - United States dollar,0.70295,0.71293,0.6743,0.70147,799572.9622440891,0.6936,2846
2024-10-04,X:SUSHIUSD,Sushi - United States dollar,0.7007,0.75,0.6998,0.7368,907488.2820096207,0.7324,3907
2024-10-05,X:SUSHIUSD,Sushi - United States dollar,0.74046,0.75328,0.728,0.74525,382524.95439767046,0.7424,2087
2024-10-06,X:SUSHIUSD,Sushi - United States dollar,0.7438,0.7614,0.7355,0.7569,476173.3164258597,0.7481,2124
2024-10-07,X:SUSHIUSD,Sushi - United States dollar,0.7559,0.781,0.7344,0.7432,617240.190456597,0.757,3397
