date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-28,X:UNIUSD,Uniswap - United States dollar,5.717,5.93,5.592,5.774,619539.4966837303,5.7352,13669
2024-08-29,X:UNIUSD,Uniswap - United States dollar,5.77,6.0181,5.726,5.838,316651.8869163512,5.8667,7525
2024-08-30,X:UNIUSD,Uniswap - United States dollar,5.836,5.9204,5.59,5.891,310469.1016210512,5.7892,6771
2024-08-31,X:UNIUSD,Uniswap - United States dollar,5.891,6.1085,5.851,5.945,444357.21519223106,5.9663,7885
2024-09-01,X:UNIUSD,Uniswap - United States dollar,5.944,5.9686,5.545,5.62,253843.43373168158,5.7296,6088
2024-09-02,X:UNIUSD,Uniswap - United States dollar,5.618,6.2251,5.592,6.102,905770.1406052453,5.9814,15061
2024-09-03,X:UNIUSD,Uniswap - United States dollar,6.104,6.3128,6.02,6.041,564807.6552210562,6.1626,12011
2024-09-04,X:UNIUSD,Uniswap - United States dollar,6.039,6.6557,5.784,6.425,1627156.9933825857,6.3121,29825
2024-09-05,X:UNIUSD,Uniswap - United States dollar,6.434,6.5161,6.168,6.307,314587.48097775003,6.2977,8554
2024-09-06,X:UNIUSD,Uniswap - United States dollar,6.307,6.3401,5.877,6.177,475073.5538257012,6.1322,12995
2024-09-07,X:UNIUSD,Uniswap - United States dollar,6.176,6.5264,6.115,6.428,554004.5948017607,6.3657,12746
2024-09-08,X:UNIUSD,Uniswap - United States dollar,6.43,6.5116,6.243,6.348,373322.70706398936,6.3729,11097
2024-09-09,X:UNIUSD,Uniswap - United States dollar,6.3607,6.7588,6.332,6.731,771694.2666659722,6.5877,18678
2024-09-10,X:UNIUSD,Uniswap - United States dollar,6.732,6.8323,6.499,6.703,914853.9597290928,6.6352,23285
2024-09-11,X:UNIUSD,Uniswap - United States dollar,6.707,6.9977,6.542,6.75,1422751.6918663648,6.8056,29591
2024-09-12,X:UNIUSD,Uniswap - United States dollar,6.759,6.9527,6.625,6.796,129633.06917942995,6.7732,2114
2024-09-13,X:UNIUSD,Uniswap - United States dollar,6.796,7.0979,6.691,6.937,68027.0246405199,6.9121,1860
2024-09-14,X:UNIUSD,Uniswap - United States dollar,6.9357,6.9444,6.603,6.674,54122.01900941007,6.758,1155
2024-09-15,X:UNIUSD,Uniswap - United States dollar,6.6775,6.8528,6.47,6.5534,39651.46421682987,6.7212,1226
2024-09-16,X:UNIUSD,Uniswap - United States dollar,6.5461,6.5731,6.31,6.412,36982.09485108997,6.4415,842
2024-09-17,X:UNIUSD,Uniswap - United States dollar,6.411,7.1466,6.336,6.786,1317817.691568348,6.8539,23390
2024-09-18,X:UNIUSD,Uniswap - United States dollar,6.787,6.787,6.393,6.767,669785.5878949336,6.5842,15104
2024-09-19,X:UNIUSD,Uniswap - United States dollar,6.774,6.9166,6.634,6.795,1507103.0838688852,6.8295,29280
2024-09-20,X:UNIUSD,Uniswap - United States dollar,6.804,6.9843,6.683,6.827,879265.8263574028,6.8398,20726
2024-09-21,X:UNIUSD,Uniswap - United States dollar,6.831,6.9264,6.683,6.9,517217.8330829904,6.8584,12526
2024-09-22,X:UNIUSD,Uniswap - United States dollar,6.9038,6.9264,6.484,6.638,467642.1251861396,6.6823,14903
2024-09-23,X:UNIUSD,Uniswap - United States dollar,6.637,6.94,6.534,6.823,644461.0182898048,6.8289,17840
2024-09-24,X:UNIUSD,Uniswap - United States dollar,6.828,7.0411,6.738,6.927,1279962.8649480988,6.909,27595
2024-09-25,X:UNIUSD,Uniswap - United States dollar,6.93,7.0475,6.745,6.776,1203340.7635395448,6.9419,22098
2024-09-26,X:UNIUSD,Uniswap - United States dollar,6.774,7.4123,6.674,7.354,817320.2634939114,7.1612,17870
2024-09-27,X:UNIUSD,Uniswap - United States dollar,7.349,7.728,7.288,7.616,935321.9873488076,7.521,18094
2024-09-28,X:UNIUSD,Uniswap - United States dollar,7.618,7.8714,7.01,7.599,596168.0076163393,7.6253,13945
2024-09-29,X:UNIUSD,Uniswap - United States dollar,7.603,7.627,7.349,7.456,438033.34410568734,7.4815,15120
2024-09-30,X:UNIUSD,Uniswap - United States dollar,7.456,7.7554,7.276,7.396,539084.0297568076,7.5156,17502
2024-10-01,X:UNIUSD,Uniswap - United States dollar,7.387,7.8672,6.772,6.869,882514.1761182419,7.28,29177
2024-10-02,X:UNIUSD,Uniswap - United States dollar,6.869,7.2937,6.614,6.668,614693.3510511973,6.9214,19071
2024-10-03,X:UNIUSD,Uniswap - United States dollar,6.666,6.7975,6.388,6.564,365345.7216215041,6.56,12899
2024-10-04,X:UNIUSD,Uniswap - United States dollar,6.56,6.8274,6.532,6.717,454611.7267595883,6.7026,11735
2024-10-05,X:UNIUSD,Uniswap - United States dollar,6.721,6.895,6.641,6.825,201146.7429609103,6.8029,14662
2024-10-06,X:UNIUSD,Uniswap - United States dollar,6.825,7.089,6.775,7.079,207187.3404112598,6.9133,15459
2024-10-07,X:UNIUSD,Uniswap - United States dollar,7.084,7.465,7.061,7.223,601106.5758275929,7.3257,21015
2024-10-08,X:UNIUSD,Uniswap - United States dollar,7.227,7.298,6.993,7.17,332003.8326711421,7.1426,10574
2024-10-09,X:UNIUSD,Uniswap - United States dollar,7.172,7.389,7.059,7.288,556306.5779847227,7.22,14621
2024-10-10,X:UNIUSD,Uniswap - United States dollar,7.284,8.468,7.206,8.126,3252800.9175630277,8.0078,86601
2024-10-11,X:UNIUSD,Uniswap - United States dollar,8.12,8.243,7.802,7.884,1464389.3324436285,7.9706,34481
2024-10-12,X:UNIUSD,Uniswap - United States dollar,7.884,8.307,7.748,8.12,1504062.3194360642,7.9967,37507
2024-10-13,X:UNIUSD,Uniswap - United States dollar,8.122,8.1622,7.561,7.676,1300873.2463843285,7.7886,31459
2024-10-14,X:UNIUSD,Uniswap - United States dollar,7.679,8.304,7.582,8.129,1722493.7046511497,7.9979,48147
2024-10-15,X:UNIUSD,Uniswap - United States dollar,8.128,8.3075,7.678,7.841,1851021.250230814,7.9633,46781
2024-10-16,X:UNIUSD,Uniswap - United States dollar,7.841,8.0142,7.55,7.564,1267094.517595607,7.7698,28962
2024-10-17,X:UNIUSD,Uniswap - United States dollar,7.572,7.662,7.185,7.3421,783514.6067132854,7.4546,19167
2024-10-18,X:UNIUSD,Uniswap - United States dollar,7.343,7.515,7.328,7.465,960617.6964159016,7.4436,19467
2024-10-19,X:UNIUSD,Uniswap - United States dollar,7.457,7.596,7.309,7.317,373385.9666921797,7.4699,8252
2024-10-20,X:UNIUSD,Uniswap - United States dollar,7.319,7.775,7.282,7.76,1148907.160737283,7.5633,22911
2024-10-21,X:UNIUSD,Uniswap - United States dollar,7.761,7.972,7.412,7.786,844031.7053760168,7.6841,18859
2024-10-22,X:UNIUSD,Uniswap - United States dollar,7.787,8.708,7.696,8.0034,1530764.373985388,8.1068,36975
2024-10-23,X:UNIUSD,Uniswap - United States dollar,7.997,8.0223,7.481,7.847,705013.7641085063,7.7096,15927
2024-10-24,X:UNIUSD,Uniswap - United States dollar,7.855,8.201,7.829,8.034,618853.0933602902,8.0679,16462
2024-10-25,X:UNIUSD,Uniswap - United States dollar,8.04,8.191,7.17,7.419,908830.1187221388,7.8175,25490
2024-10-26,X:UNIUSD,Uniswap - United States dollar,7.419,7.77,7.282,7.436,644009.2735549245,7.5279,17126
2024-10-27,X:UNIUSD,Uniswap - United States dollar,7.4328,7.792,7.36,7.522,519468.51392016106,7.5287,12571
2024-10-28,X:UNIUSD,Uniswap - United States dollar,7.523,7.7854,7.295,7.778,526883.7677828292,7.5533,15113
2024-10-29,X:UNIUSD,Uniswap - United States dollar,7.783,8.006,7.756,7.9413,841403.2578676012,7.8939,20098
