date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-31,X:XLMUSD,Stellar - United States dollar,0.093176,0.093811,0.091876,0.092531,19131802.553445194,0.0925,13202
2024-09-01,X:XLMUSD,Stellar - United States dollar,0.092531,0.092707,0.089263,0.090015,43581110.71474362,0.0907,20525
2024-09-02,X:XLMUSD,Stellar - United States dollar,0.089998,0.092729,0.089951,0.092358,37383850.401668556,0.0916,18368
2024-09-03,X:XLMUSD,Stellar - United States dollar,0.092366,0.094631,0.091395,0.091471,50398355.19635794,0.0927,19253
2024-09-04,X:XLMUSD,Stellar - United States dollar,0.091457,0.092721,0.088347,0.091627,79623807.61821344,0.0908,26313
2024-09-05,X:XLMUSD,Stellar - United States dollar,0.091651,0.092122,0.089666,0.09022,48933165.67868038,0.0907,20305
2024-09-06,X:XLMUSD,Stellar - United States dollar,0.090205,0.09065,0.085442,0.088029,59379960.83729653,0.0882,29591
2024-09-07,X:XLMUSD,Stellar - United States dollar,0.087996,0.089974,0.087499,0.088568,25733144.72250455,0.0887,13894
2024-09-08,X:XLMUSD,Stellar - United States dollar,0.088577,0.090299,0.088433,0.089995,27109540.697071854,0.0894,12207
2024-09-09,X:XLMUSD,Stellar - United States dollar,0.089962,0.093819,0.08987,0.093154,43061272.38624794,0.0917,14246
2024-09-10,X:XLMUSD,Stellar - United States dollar,0.093109,0.094855,0.092482,0.093934,26244996.786723204,0.0935,10744
2024-09-11,X:XLMUSD,Stellar - United States dollar,0.093955,0.094191,0.091414,0.09264,41840856.76009061,0.0926,12627
2024-09-12,X:XLMUSD,Stellar - United States dollar,0.092662,0.095607,0.092349,0.094975,3544369.073391477,0.0943,960
2024-09-13,X:XLMUSD,Stellar - United States dollar,0.094953,0.097104,0.094061,0.096354,3603828.034287365,0.0953,1021
2024-09-14,X:XLMUSD,Stellar - United States dollar,0.096419,0.097545,0.09584,0.097545,1581758.5527922108,0.0968,896
2024-09-15,X:XLMUSD,Stellar - United States dollar,0.097297,0.097486,0.094688,0.09514,1645248.7947620417,0.0964,684
2024-09-16,X:XLMUSD,Stellar - United States dollar,0.095373,0.095803,0.093799,0.094968,2256467.9999603387,0.0947,785
2024-09-17,X:XLMUSD,Stellar - United States dollar,0.09489,0.096603,0.094019,0.09458,56436489.184073865,0.0954,15395
2024-09-18,X:XLMUSD,Stellar - United States dollar,0.094539,0.096152,0.092901,0.095995,50794012.74202287,0.0942,15155
2024-09-19,X:XLMUSD,Stellar - United States dollar,0.09601,0.097123,0.09459,0.095995,56463138.21166736,0.0959,16628
