date,ticker,ticker_name,open,high,low,close,volume,volume_weighted_price,number_of_transactions
2024-08-28,X:XRPUSD,Ripple - United States dollar,0.56709,0.58525,0.556,0.5695,80123270.11690813,0.5708,96496
2024-08-29,X:XRPUSD,Ripple - United States dollar,0.56943,0.57839,0.55676,0.5621,55029174.7907593,0.5698,68815
2024-08-30,X:XRPUSD,Ripple - United States dollar,0.56208,0.56905,0.5461,0.5667,58717828.552233316,0.559,76891
2024-08-31,X:XRPUSD,Ripple - United States dollar,0.56663,0.57359,0.5623,0.5663,21165760.77451426,0.5667,39342
2024-09-01,X:XRPUSD,Ripple - United States dollar,0.56625,0.56813,0.5436,0.54882,37222111.92357423,0.5555,56728
2024-09-02,X:XRPUSD,Ripple - United States dollar,0.54744,0.57006,0.5444,0.5677,35969718.2112032,0.5565,53267
2024-09-03,X:XRPUSD,Ripple - United States dollar,0.5677,0.574,0.55501,0.5573,40455038.492149994,0.5649,52784
2024-09-04,X:XRPUSD,Ripple - United States dollar,0.55711,0.5662,0.532,0.5581,63825882.855366185,0.5525,82864
2024-09-05,X:XRPUSD,Ripple - United States dollar,0.55798,0.56081,0.5398,0.5443,40911664.22485099,0.5491,58971
2024-09-06,X:XRPUSD,Ripple - United States dollar,0.5443,0.54833,0.50214,0.5211,84238730.87625265,0.5265,106637
2024-09-07,X:XRPUSD,Ripple - United States dollar,0.52104,0.5343,0.5193,0.5249,29875339.69244696,0.5268,45751
2024-09-08,X:XRPUSD,Ripple - United States dollar,0.52486,0.53279,0.5206,0.5295,22403869.143813,0.5271,37098
2024-09-09,X:XRPUSD,Ripple - United States dollar,0.52901,0.5448,0.5268,0.5395,39947358.05729597,0.5339,50800
2024-09-10,X:XRPUSD,Ripple - United States dollar,0.53959,0.54331,0.533,0.5408,30530586.17909822,0.5381,43818
2024-09-11,X:XRPUSD,Ripple - United States dollar,0.54083,0.54211,0.523,0.5348,32151261.75692858,0.5334,48636
2024-09-12,X:XRPUSD,Ripple - United States dollar,0.5351,0.59,0.5335,0.5627,98885986.8469688,0.561,99569
2024-09-13,X:XRPUSD,Ripple - United States dollar,0.56291,0.57568,0.5556,0.5732,60708989.99076542,0.5675,80231
2024-09-14,X:XRPUSD,Ripple - United States dollar,0.57309,0.60051,0.5679,0.5959,73529111.31455585,0.587,89546
2024-09-15,X:XRPUSD,Ripple - United States dollar,0.59595,0.59709,0.56078,0.5706,43678173.58626466,0.5837,64958
2024-09-16,X:XRPUSD,Ripple - United States dollar,0.571,0.59237,0.56022,0.58812,10503690.053032724,0.5753,12404
2024-09-17,X:XRPUSD,Ripple - United States dollar,0.58628,0.59561,0.5789,0.584,47505524.12314434,0.5869,66768
2024-09-18,X:XRPUSD,Ripple - United States dollar,0.58397,0.5866,0.562,0.5854,54135905.09769692,0.5751,90670
2024-09-19,X:XRPUSD,Ripple - United States dollar,0.58546,0.59524,0.57956,0.5872,70268847.94308804,0.5877,86271
2024-09-20,X:XRPUSD,Ripple - United States dollar,0.58684,0.6015,0.5758,0.5852,63954249.98708863,0.5845,97100
2024-09-21,X:XRPUSD,Ripple - United States dollar,0.58491,0.61324,0.58,0.5977,51448358.18310404,0.5966,72537
2024-09-22,X:XRPUSD,Ripple - United States dollar,0.59786,0.60567,0.5782,0.58751,43716859.64053999,0.5921,57882
2024-09-23,X:XRPUSD,Ripple - United States dollar,0.58751,0.59641,0.5786,0.5849,50225290.585964434,0.5877,62419
2024-09-24,X:XRPUSD,Ripple - United States dollar,0.58485,0.5936,0.5813,0.5912,53605982.522833355,0.5874,61012
2024-09-25,X:XRPUSD,Ripple - United States dollar,0.59137,0.5963,0.5812,0.5827,41267251.81209644,0.5883,54719
2024-09-26,X:XRPUSD,Ripple - United States dollar,0.58288,0.5971,0.5734,0.59068,64327718.113945134,0.5883,84979
2024-09-27,X:XRPUSD,Ripple - United States dollar,0.59067,0.598,0.5827,0.5889,68796012.67301023,0.589,79692
2024-09-28,X:XRPUSD,Ripple - United States dollar,0.58844,0.628,0.5857,0.6139,113573295.68844908,0.6127,122264
2024-09-29,X:XRPUSD,Ripple - United States dollar,0.6139,0.666,0.6076,0.6413,143865674.1446119,0.6419,152689
2024-09-30,X:XRPUSD,Ripple - United States dollar,0.64149,0.656,0.6082,0.6113,109522949.07539564,0.6329,122025
2024-10-01,X:XRPUSD,Ripple - United States dollar,0.6113,0.63524,0.5777,0.5968,145967274.9042738,0.6094,165635
2024-10-02,X:XRPUSD,Ripple - United States dollar,0.59689,0.62004,0.5254,0.5381,206091754.00075427,0.5634,189831
2024-10-03,X:XRPUSD,Ripple - United States dollar,0.53807,0.54544,0.507,0.5222,179773235.54483923,0.5254,194419
2024-10-04,X:XRPUSD,Ripple - United States dollar,0.52175,0.53977,0.515,0.5341,102281251.91678765,0.5265,117734
2024-10-05,X:XRPUSD,Ripple - United States dollar,0.53416,0.5362,0.5261,0.52957,33672511.84944903,0.5311,59828
2024-10-06,X:XRPUSD,Ripple - United States dollar,0.52952,0.53762,0.5279,0.53367,27430624.52979066,0.5325,48021
2024-10-07,X:XRPUSD,Ripple - United States dollar,0.53367,0.54621,0.5281,0.5285,58511020.50153887,0.5386,73779
