#,Name,Price,1h %,24h %,7d %,Market Cap,Volume(24h),Circulating Supply
1,BitcoinBTCBuy,"$111,238.73",0.14%,2.70%,10.66%,"$2,217,478,194,907","$78,492,847,380704.66K",19.93M BTC
2,EthereumETHBuy,"$3,954.57",0.40%,3.50%,15.95%,"$477,313,256,918","$57,495,103,39914.46M",120.69M ETH
3,TetherUSDTBuy,$1.00,0.00%,0.00%,0.02%,"$180,146,131,752","$200,071,229,440199.82B",180B USDT
4,BNBBNBBuy,"$1,165.21",2.01%,10.09%,12.12%,"$162,177,072,108","$9,499,660,4478.10M",139.18M BNB
5,XRPXRPBuy,$2.43,0.81%,5.57%,18.06%,"$145,909,952,294","$8,223,160,7983.36B",59.91B XRP
6,SolanaSOLBuy,$193.84,1.00%,0.38%,15.75%,"$105,977,763,770","$13,411,890,06669.02M",546.7M SOL
7,USDCUSDCBuy,$0.9998,0.00%,0.01%,0.01%,"$75,808,061,821","$23,917,087,35023.90B",75.82B USDC
8,DogecoinDOGEBuy,$0.1978,0.74%,4.04%,24.39%,"$29,939,858,999","$5,242,799,21326.38B",151.34B DOGE
9,TRONTRXBuy,$0.3110,0.15%,3.21%,9.70%,"$29,445,528,964","$1,274,857,6684.09B",94.66B TRX
10,CardanoADABuy,$0.6731,0.58%,5.21%,21.60%,"$24,121,398,702","$1,752,078,6472.59B",35.83B ADA
11,HyperliquidHYPEBuy,$38.07,0.42%,5.54%,17.13%,"$12,820,030,438","$857,601,90822.56M",336.68M HYPE
12,Ethena USDeUSDeBuy,$1.00,0.01%,0.02%,0.02%,"$12,560,490,887","$362,988,457362.81M",12.55B USDe
13,ChainlinkLINKBuy,$18.45,0.58%,4.65%,18.94%,"$12,512,929,324","$1,456,745,60078.58M",678.09M LINK
14,StellarXLMBuy,$0.3258,1.00%,4.90%,18.63%,"$10,427,470,601","$377,392,3141.15B",31.99B XLM
15,Bitcoin CashBCHBuy,$518.60,0.10%,4.00%,12.29%,"$10,340,346,502","$708,482,2021.36M",19.93M BCH
16,SuiSUIBuy,$2.71,0.87%,3.64%,24.33%,"$9,833,592,663","$2,368,539,042871.91M",3.62B SUI
17,AvalancheAVAXBuy,$22.28,1.03%,0.41%,25.58%,"$9,409,984,910","$1,471,852,46465.91M",422.27M AVAX
18,UNUS SED LEOLEOBuy,$9.66,0.03%,0.16%,0.32%,"$8,919,284,308","$1,018,871105.37K",922.43M LEO
19,HederaHBARBuy,$0.1801,0.32%,3.78%,20.14%,"$7,638,855,760","$514,012,0032.85B",42.4B HBAR
20,LitecoinLTCBuy,$92.89,0.83%,4.01%,21.47%,"$7,097,785,705","$1,188,823,57912.79M",76.4M LTC
21,Shiba InuSHIBBuy,$0.00001039,0.57%,4.12%,18.46%,"$6,124,307,639","$294,017,27028.28T",589.24T SHIB
22,MantleMNTBuy,$1.85,0.48%,11.02%,20.67%,"$6,028,983,636","$772,241,440416.66M",3.25B MNT
23,MoneroXMRBuy,$304.60,0.01%,2.00%,5.73%,"$5,619,060,367","$191,450,892628.51K",18.44M XMR
24,ToncoinTONBuy,$2.22,0.46%,1.43%,21.33%,"$5,598,916,776","$238,143,526107.15M",2.51B TON
25,CronosCROBuy,$0.1584,0.48%,6.67%,22.83%,"$5,526,359,016","$52,259,919329.80M",34.87B CRO
26,DaiDAIBuy,$1.00,0.02%,0.01%,0.03%,"$5,366,112,272","$158,752,539158.73M",5.36B DAI
27,PolkadotDOTBuy,$3.13,0.40%,4.61%,27.72%,"$5,099,010,552","$500,336,188159.62M",1.62B DOT
28,BittensorTAOBuy,$431.19,0.28%,6.51%,24.60%,"$4,349,105,093","$699,338,1361.62M",10.08M TAO
29,UniswapUNIBuy,$6.56,0.29%,2.09%,19.22%,"$4,137,546,216","$403,861,87961.52M",630.33M UNI
30,AaveAAVEBuy,$244.58,0.01%,2.00%,15.72%,"$3,731,200,766","$543,129,2042.22M",15.25M AAVE
31,OKBOKBBuy,$176.81,0.52%,4.55%,23.93%,"$3,713,183,507","$203,574,2281.15M",21M OKB
32,ZcashZECBuy,$225.90,0.38%,8.30%,56.42%,"$3,673,705,229","$691,822,2183.06M",16.26M ZEC
33,World Liberty FinancialWLFIBuy,$0.1388,0.88%,1.16%,28.83%,"$3,410,623,797","$324,790,9792.33B",24.56B WLFI
34,Bitget TokenBGBBuy,$4.74,0.16%,2.34%,17.38%,"$3,304,010,734","$504,287,107106.32M",696.59M BGB
35,PepePEPEBuy,$0.057259,0.66%,4.09%,27.90%,"$3,054,095,799","$934,580,098128.73T",420.68T PEPE
36,EthenaENABuy,$0.4223,1.26%,2.62%,29.06%,"$3,022,660,462","$662,639,9041.56B",7.15B ENA
37,NEAR ProtocolNEARBuy,$2.39,0.55%,3.39%,20.88%,"$2,997,770,929","$456,817,030190.45M",1.24B NEAR
