rank,symbol,name,ticker,current_price,price_formatted,market_cap_usd,market_cap_formatted,circulating_supply_millions,supply_formatted,volume_24h,volume_formatted,date
1,BTC,Bitcoin,X:BTCUSD,111788.01,"$111,788.01",2213402598000.0,$2.21T,19.8,19.80M,8276.235326342823,$8.28K,2025-08-27
2,ETH,Ethereum,X:ETHUSD,4601.64,"$4,601.64",554497620000.0,$554.50B,120.5,120.50M,252648.96292297632,$252.65K,2025-08-27
3,XRP,Ripple,X:XRPUSD,3.0172,$3.02,168963199999.99997,$168.96B,56000.0,56.00B,600473.4656787717,$600.47K,2025-08-27
4,SOL,Solana,X:SOLUSD,195.87,$195.87,92058900000.00002,$92.06B,470.0,470.00M,1257970.320942591,$1.26M,2025-08-27
5,DOGE,Dogecoin,X:DOGEUSD,0.21897,$0.22,31969620000.0,$31.97B,146000.0,146.00B,840096.9504003997,$840.10K,2025-08-27
6,ADA,Cardano,X:ADAUSD,0.8665,$0.87,30327500000.0,$30.33B,35000.0,35.00B,55397510.72552925,$55.40M,2025-08-27
7,LINK,Chainlink,X:LINKUSD,24.382,$24.38,13410100000.0,$13.41B,550.0,550.00M,3235267.2879481856,$3.24M,2025-08-27
8,XLM,Stellar,X:XLMUSD,0.394826,$0.39,11449954000.0,$11.45B,29000.0,29.00B,59270438.20988835,$59.27M,2025-08-27
9,BCH,Bitcoin Cash,X:BCHUSD,550.92,$550.92,10908216000.0,$10.91B,19.8,19.80M,14834.269692920783,$14.83K,2025-08-27
10,AVAX,Avalanche,X:AVAXUSD,24.17,$24.17,9909700000.0,$9.91B,410.0,410.00M,511069.15834961896,$511.07K,2025-08-27
11,LTC,Litecoin,X:LTCUSD,113.5,$113.50,8512500000.0,$8.51B,75.0,75.00M,143120.3127960039,$143.12K,2025-08-27
12,UNI,Uniswap,X:UNIUSD,9.952,$9.95,7464000000.0,$7.46B,750.0,750.00M,874531.6645176848,$874.53K,2025-08-27
13,DOT,Polkadot,X:DOTUSD,3.887,$3.89,5441800000.0,$5.44B,1400.0,1.40B,2430435.2449579397,$2.43M,2025-08-27
14,AAVE,Aave,X:AAVEUSD,335.83,$335.83,5373280000.0,$5.37B,16.0,16.00M,59796.68187097203,$59.80K,2025-08-27
15,NEAR,NEAR Protocol,X:NEARUSD,2.526,$2.53,2778600000.0,$2.78B,1100.0,1.10B,1428725.023232124,$1.43M,2025-08-27
16,MATIC,Polygon,X:MATICUSD,0.2439,$0.24,2268270000.0,$2.27B,9300.0,9.30B,1763314.399999997,$1.76M,2025-08-27
17,ALGO,Algorand,X:ALGOUSD,0.2547,$0.25,1910249999.9999998,$1.91B,7500.0,7.50B,24907515.60000001,$24.91M,2025-08-27
18,ATOM,Cosmos,X:ATOMUSD,4.527,$4.53,1765530000.0,$1.77B,390.0,390.00M,595349.229999995,$595.35K,2025-08-27
19,MKR,Maker,X:MKRUSD,1597.86,"$1,597.86",1597860000.0,$1.60B,1.0,1.00M,1653.47666832998,$1.65K,2025-08-27
20,CRV,Curve DAO Token,X:CRVUSD,0.8076,$0.81,888360000.0,$888.36M,1100.0,1.10B,11773584.31550359,$11.77M,2025-08-27
21,SAND,The Sandbox,X:SANDUSD,0.2815,$0.28,647449999.9999999,$647.45M,2300.0,2.30B,1784201.4999999553,$1.78M,2025-08-27
22,MANA,Decentraland,X:MANAUSD,0.2879,$0.29,547010000.0,$547.01M,1900.0,1.90B,2934624.0680950875,$2.93M,2025-08-27
23,COMP,Compound,X:COMPUSD,44.57,$44.57,445700000.0,$445.70M,10.0,10.00M,21616.42965775965,$21.62K,2025-08-27
24,FTT,FTX Token,X:FTTUSD,1.2402,$1.24,409265999.99999994,$409.27M,330.0,330.00M,6430.46440808,$6.43K,2025-08-27
25,SNX,Synthetix,X:SNXUSD,0.776,$0.78,248320000.0,$248.32M,320.0,320.00M,1559812.3189999908,$1.56M,2025-08-27
26,ZRX,0x,X:ZRXUSD,0.247935,$0.25,247935000.0,$247.94M,1000.0,1.00B,1208633.8819194075,$1.21M,2025-08-27
27,BAT,Basic Attention Token,X:BATUSD,0.15066,$0.15,225989999.99999997,$225.99M,1500.0,1.50B,622048.539683302,$622.05K,2025-08-27
28,YFI,yearn.finance,X:YFIUSD,5529.36,"$5,529.36",204586319.99999997,$204.59M,0.037,37.00K,35.90135644000013,$35.90,2025-08-27
29,SUSHI,Sushi,X:SUSHIUSD,0.7852,$0.79,196300000.0,$196.30M,250.0,250.00M,1187929.9451597994,$1.19M,2025-08-27
30,ENJ,Enjin Coin,X:ENJUSD,0.0682,$0.07,68200000.0,$68.20M,1000.0,1.00B,344252.6262864006,$344.25K,2025-08-27
